x,xl
http://purl.obolibrary.org/obo/CP_0000028,basophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0000505,substance P secreting cell
http://purl.obolibrary.org/obo/CL_0002314,external supporting cell of vestibular epithelium
http://purl.obolibrary.org/obo/CL_0000315,tears secreting cell
http://purl.obolibrary.org/obo/CL_0005026,hepatoblast
http://purl.obolibrary.org/obo/CL_0002134,stromal cell of ovarian medulla
http://purl.obolibrary.org/obo/CL_1000155,Malpighian tubule stellate cell
http://purl.obolibrary.org/obo/CL_0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"
http://purl.obolibrary.org/obo/CL_0000317,sebum secreting cell
http://purl.obolibrary.org/obo/CL_1000495,small intestine goblet cell
http://purl.obolibrary.org/obo/CL_0002264,type A cell of stomach
http://purl.obolibrary.org/obo/CL_0000348,choroidal cell of the eye
http://purl.obolibrary.org/obo/CL_0000321,seminal fluid secreting cell
http://purl.obolibrary.org/obo/CL_1000325,jejunal goblet cell
http://purl.obolibrary.org/obo/CL_0000175,luteal cell
http://purl.obolibrary.org/obo/CL_0000161,acid secreting cell
http://purl.obolibrary.org/obo/CL_1001599,pancreas exocrine glandular cell
http://purl.obolibrary.org/obo/CP_0000000,neutrophillic cytoplasm
http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell
http://purl.obolibrary.org/obo/CL_0002195,hepatic stem cell
http://purl.obolibrary.org/obo/GO_0043379,memory T cell differentiation
http://purl.obolibrary.org/obo/CL_0002568,mesenchymal stem cell of Wharton's jelly
http://purl.obolibrary.org/obo/CL_1000384,type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
http://purl.obolibrary.org/obo/CL_1001593,parathyroid glandular cell
http://purl.obolibrary.org/obo/CL_0000034,stem cell
http://purl.obolibrary.org/obo/CL_0000159,seromucus secreting cell
http://purl.obolibrary.org/obo/CL_1001586,mammary gland glandular cell
http://purl.obolibrary.org/obo/CL_0000435,alkali secreting cell
http://purl.obolibrary.org/obo/CL_0002269,vasoactive intestinal peptide secreting cell
http://purl.obolibrary.org/obo/CL_1001572,colon endothelial cell
http://purl.obolibrary.org/obo/CL_0000507,endorphin secreting cell
http://purl.obolibrary.org/obo/CL_0001203,"CD8-positive, alpha-beta memory T cell, CD45RO-positive"
http://purl.obolibrary.org/obo/CL_0002351,progenitor cell of endocrine pancreas
http://purl.obolibrary.org/obo/CL_0000634,Claudius cell
http://purl.obolibrary.org/obo/CL_1001577,tonsil squamous cell
http://purl.obolibrary.org/obo/CL_1000909,kidney loop of Henle epithelial cell
http://purl.obolibrary.org/obo/CL_0000855,sensory hair cell
http://purl.obolibrary.org/obo/CL_1000321,large intestine crypt goblet cell
http://purl.obolibrary.org/obo/CL_0000171,pancreatic A cell
http://purl.obolibrary.org/obo/CL_0002490,organ of Corti supporting cell
http://purl.obolibrary.org/obo/CL_0002084,Boettcher cell
http://purl.obolibrary.org/obo/CL_1001595,rectum glandular cell
http://purl.obolibrary.org/obo/CL_0002168,border cell of cochlea
http://purl.obolibrary.org/obo/CL_1000317,intestinal villus goblet cell
http://purl.obolibrary.org/obo/CL_0000481,cholecystokin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_1000326,ileal goblet cell
http://purl.obolibrary.org/obo/CL_1000380,type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
http://purl.obolibrary.org/obo/CL_0002370,respiratory goblet cell
http://purl.obolibrary.org/obo/CP_0000043,cartwheel heterochromatin
http://purl.obolibrary.org/obo/CL_0002480,nasal mucosa goblet cell
http://purl.obolibrary.org/obo/CL_0000478,oxytocin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0008002,skeletal muscle fiber
http://purl.obolibrary.org/obo/CP_0000039,banded nucleus
http://purl.obolibrary.org/obo/CL_1001587,uterine cervix glandular cell
http://purl.obolibrary.org/obo/CL_0000480,secretin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0010009,camera-type eye photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000851,neuromast mantle cell
http://purl.obolibrary.org/obo/CL_1000320,large intestine goblet cell
http://purl.obolibrary.org/obo/CL_1001610,bone marrow hematopoietic cell
http://purl.obolibrary.org/obo/CL_0002317,external limiting cell of vestibular epithelium
http://purl.obolibrary.org/obo/CL_0000465,cardioblast (sensu Arthropoda)
http://purl.obolibrary.org/obo/CL_0002094,interstitial cell of ovary
http://purl.obolibrary.org/obo/CL_0000436,vaginal lubricant secreting cell
http://purl.obolibrary.org/obo/CP_0000025,lobed nucleus
http://purl.obolibrary.org/obo/CL_1001578,vagina squamous cell
http://purl.obolibrary.org/obo/CL_0002172,interdental cell of cochlea
http://purl.obolibrary.org/obo/CL_0000249,hatching gland cell
http://purl.obolibrary.org/obo/CL_0000178,Leydig cell
http://purl.obolibrary.org/obo/CL_0010000,keratinized cell of hair follicle
http://purl.obolibrary.org/obo/CL_0000207,olfactory receptor cell
http://purl.obolibrary.org/obo/CL_1001596,salivary gland glandular cell
http://purl.obolibrary.org/obo/CL_0002672,retinal progenitor cell
http://purl.obolibrary.org/obo/CL_1000327,appendix goblet cell
http://purl.obolibrary.org/obo/CL_1000312,bronchial goblet cell
http://purl.obolibrary.org/obo/CL_0000163,endocrine cell
http://purl.obolibrary.org/obo/CL_1001590,epididymis glandular cell
http://purl.obolibrary.org/obo/CL_0000054,bone matrix secreting cell
http://purl.obolibrary.org/obo/CL_0002328,bronchial epithelial cell
http://purl.obolibrary.org/obo/CL_0000323,lysozyme secreting cell
http://purl.obolibrary.org/obo/CL_0005019,pancreatic epsilon cell
http://purl.obolibrary.org/obo/CL_0002487,cutaneous/subcutaneous mechanoreceptor cell
http://purl.obolibrary.org/obo/CL_0000511,androgen binding protein secreting cell
http://purl.obolibrary.org/obo/CL_0000525,syncytiotrophoblast cell
http://purl.obolibrary.org/obo/CL_0000544,slowly adapting mechanoreceptor cell
http://purl.obolibrary.org/obo/CL_1001588,colon glandular cell
http://purl.obolibrary.org/obo/CL_0000479,vasopressin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000003,native cell
http://purl.obolibrary.org/obo/CL_0001034,cell in vitro
http://purl.obolibrary.org/obo/CL_0000487,oenocyte
http://purl.obolibrary.org/obo/CL_0000509,gastrin secreting cell
http://purl.obolibrary.org/obo/GO_0032634,interleukin-5 production
http://purl.obolibrary.org/obo/CL_0000424,excretory cell
http://purl.obolibrary.org/obo/CL_0002095,hilus cell of ovary
http://purl.obolibrary.org/obo/CL_0000746,cardiac muscle cell
http://purl.obolibrary.org/obo/CL_0000354,blastemal cell
http://purl.obolibrary.org/obo/CL_0000732,amoeboid cell
http://purl.obolibrary.org/obo/CL_1001602,cerebral cortex endothelial cell
http://purl.obolibrary.org/obo/CL_0002451,mammary stem cell
http://purl.obolibrary.org/obo/CL_1000323,pyloric gastric gland goblet cell
http://purl.obolibrary.org/obo/CL_0000457,biogenic amine secreting cell
http://purl.obolibrary.org/obo/CL_1000329,tracheal goblet cell
http://purl.obolibrary.org/obo/CL_0000208,pH receptor cell
http://purl.obolibrary.org/obo/CL_0002373,growth hormone releasing hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000554,gastrin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_1001591,oviduct glandular cell
http://purl.obolibrary.org/obo/CL_1000313,gastric goblet cell
http://purl.obolibrary.org/obo/CL_1001597,seminal vesicle glandular cell
http://purl.obolibrary.org/obo/PATO_0045026,normal life span
http://purl.obolibrary.org/obo/CL_0000483,bombesin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000587,cold sensing thermoreceptor cell
http://purl.obolibrary.org/obo/CL_0000512,paracrine cell
http://purl.obolibrary.org/obo/CL_0000447,carbohydrate secreting cell
http://purl.obolibrary.org/obo/CL_1001589,duodenum glandular cell
http://purl.obolibrary.org/obo/CL_0000157,surfactant secreting cell
http://purl.obolibrary.org/obo/CL_1000379,type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
http://purl.obolibrary.org/obo/CL_0007017,Stiftchenzellen
http://purl.obolibrary.org/obo/D96882F1-8709-49AB-BCA9-772A67EA6C33,alobate nucleus
http://purl.obolibrary.org/obo/CL_0000748,retinal bipolar neuron
http://purl.obolibrary.org/obo/CP_0000035,polychromatophilic cytoplasm
http://purl.obolibrary.org/obo/CL_0000314,milk secreting cell
http://purl.obolibrary.org/obo/CL_0001061,abnormal cell
http://purl.obolibrary.org/obo/CP_0000027,acidophilic cytoplasm
http://purl.obolibrary.org/obo/CL_1001575,uterine cervix squamous cell
http://purl.obolibrary.org/obo/CL_0002133,stromal cell of ovarian cortex
http://purl.obolibrary.org/obo/CL_0000347,scleral cell
http://purl.obolibrary.org/obo/CL_1000324,duodenal goblet cell
http://purl.obolibrary.org/obo/CL_0000355,multi-potent skeletal muscle stem cell
http://purl.obolibrary.org/obo/CL_0002333,neural crest derived fat cell
http://purl.obolibrary.org/obo/CL_0011108,colon epithelial cell
http://purl.obolibrary.org/obo/CL_0000591,warmth sensing thermoreceptor cell
http://purl.obolibrary.org/obo/CL_0002272,motilin secreting cell
http://purl.obolibrary.org/obo/CL_1001567,lung endothelial cell
http://purl.obolibrary.org/obo/CL_1001592,gall bladder glandular cell
http://purl.obolibrary.org/obo/CL_0005020,lymphangioblast
http://purl.obolibrary.org/obo/CL_1001585,appendix glandular cell
http://purl.obolibrary.org/obo/CL_1001598,small intestine glandular cell
http://purl.obolibrary.org/obo/CL_0000470,digestive enzyme secreting cell
http://purl.obolibrary.org/obo/CL_1000383,type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
http://purl.obolibrary.org/obo/CL_0002664,cardioblast
http://purl.obolibrary.org/obo/CL_0000047,neuronal stem cell
http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
http://purl.obolibrary.org/obo/CL_1000314,gastric cardiac gland goblet cell
http://purl.obolibrary.org/obo/CP_0000040,reniform nucleus
http://purl.obolibrary.org/obo/CP_0000037,increased nucleus size
http://purl.obolibrary.org/obo/CL_0000033,apocrine cell
http://purl.obolibrary.org/obo/CL_0000082,epithelial cell of lung
http://purl.obolibrary.org/obo/CL_1001571,hippocampal pyramidal neuron
http://purl.obolibrary.org/obo/CL_0000247,Rohon-Beard neuron
