x,xl
http://purl.obolibrary.org/obo/OBI_0600053,electrophoresis
http://purl.obolibrary.org/obo/OBI_0000815,Berichrom(r) Antithrombin III (A) Kit
http://purl.obolibrary.org/obo/OBI_0001522,sequence assembly algorithm
http://purl.obolibrary.org/obo/OBI_0001479,specimen from organism
http://purl.obolibrary.org/obo/OBI_0000413,cell cycle synchronization
http://purl.obolibrary.org/obo/OBI_0002016,histone modification identification by ChIP-chip assay
http://purl.obolibrary.org/obo/OBI_0002394,number of pregnancies
http://purl.obolibrary.org/obo/OBI_1110053,cancer
http://purl.obolibrary.org/obo/OBI_0000992,DNA sequencing service
http://purl.obolibrary.org/obo/OBI_0001892,specification of data to be generated in an investigation
http://purl.obolibrary.org/obo/OBI_0100058,xenograft
http://purl.obolibrary.org/obo/OBI_0302868,mean-centered data
http://purl.obolibrary.org/obo/OBI_0002754,cDNA library
http://purl.obolibrary.org/obo/OBI_0000938,categorical measurement datum
http://purl.obolibrary.org/obo/OBI_0001906,cancer cell line
http://purl.obolibrary.org/obo/OBI_0302731,buffer role
http://purl.obolibrary.org/obo/OBI_0000909,cloacal specimen
http://purl.obolibrary.org/obo/OBI_0002051,in vivo assay measuring B cell epitope specific protection from infectious challenge based on pathogen burden
http://purl.obolibrary.org/obo/OBI_0002401,hormonal birth control use history
http://purl.obolibrary.org/obo/OBI_0002371,diagnosis of cancer
http://purl.obolibrary.org/obo/OBI_0302890,polymerization
http://purl.obolibrary.org/obo/OBI_0001023,Fe-BABE RNA structure mapping assay
http://purl.obolibrary.org/obo/OBI_0001947,sequence annotation provider
http://purl.obolibrary.org/obo/OBI_0000375,freeze function
http://purl.obolibrary.org/obo/OBI_0000319,material to be added role
http://purl.obolibrary.org/obo/OBI_0000658,data representational model
http://purl.obolibrary.org/obo/OBI_0001029,OH-radical structure mapping assay
http://purl.obolibrary.org/obo/OBI_0001849,structural analysis by paired-end tag sequencing assay
http://purl.obolibrary.org/obo/OBI_0600004,human subject enrollment
http://purl.obolibrary.org/obo/OBI_0001636,grant
http://purl.obolibrary.org/obo/OBI_0001882,target material in specimen specification
http://purl.obolibrary.org/obo/OBI_0000835,manufacturer
http://purl.obolibrary.org/obo/OBI_0001000,questionnaire
http://purl.obolibrary.org/obo/OBI_0000962,training objective
http://purl.obolibrary.org/obo/OBI_0000073,sample preparation for assay
http://purl.obolibrary.org/obo/OBI_0002644,in vivo assay measuring B cell epitope specific protection from tumor challenge resulting from the adoptive transfer of epitope specific antibodies or B cells
http://purl.obolibrary.org/obo/OBI_0001041,stabilization function
http://purl.obolibrary.org/obo/OBI_0002369,clinical history devoid of cancer
http://purl.obolibrary.org/obo/OBI_0002115,cytometry time of flight assay
http://purl.obolibrary.org/obo/OBI_0002410,menopausal status
http://purl.obolibrary.org/obo/OBI_0000218,investigation results report
http://purl.obolibrary.org/obo/OBI_1110085,antigen presentation function
http://purl.obolibrary.org/obo/OBI_0000723,DNA sequencing by ligation assay
http://purl.obolibrary.org/obo/OBI_0001705,biological activity assay measuring epitope specific antigen inhibition of antibody activity
http://purl.obolibrary.org/obo/OBI_0001638,antigen inhibition assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex approximated by IC50
http://purl.obolibrary.org/obo/OBI_0302888,washing
http://purl.obolibrary.org/obo/OBI_0001172,dose response curve
http://purl.obolibrary.org/obo/OBI_0001019,RNA ADA I RNA structure mapping assay
http://purl.obolibrary.org/obo/OBI_0002197,tissue section thickness
http://purl.obolibrary.org/obo/OBI_1110016,adaptive immune effector function
http://purl.obolibrary.org/obo/OBI_0000023,classified data set
http://purl.obolibrary.org/obo/OBI_0001151,genetically modified material
http://purl.obolibrary.org/obo/OBI_0302838,validated information
http://purl.obolibrary.org/obo/OBI_0001879,reagent
http://purl.obolibrary.org/obo/OBI_0000725,host role
http://purl.obolibrary.org/obo/OBI_0002191,courier tracking number
http://purl.obolibrary.org/obo/OBI_0001039,inline probing RNA structure mapping assay
http://purl.obolibrary.org/obo/OBI_0001620,latitude coordinate measurement datum
http://purl.obolibrary.org/obo/OBI_1110036,JY cell line
http://purl.obolibrary.org/obo/OBI_0001628,investigation identifier
http://purl.obolibrary.org/obo/OBI_0001873,number of errors
http://purl.obolibrary.org/obo/OBI_0002017,histone modification identification by ChIP-Seq assay
http://purl.obolibrary.org/obo/OBI_0000952,oral administration
http://purl.obolibrary.org/obo/OBI_0600054,selection by survival
http://purl.obolibrary.org/obo/OBI_0001920,DNA replication timing by sequencing assay
http://purl.obolibrary.org/obo/OBI_0000202,investigation agent role
http://purl.obolibrary.org/obo/OBI_0000385,ionization function
http://purl.obolibrary.org/obo/OBI_1110054,autoimmune disease
http://purl.obolibrary.org/obo/OBI_0001667,purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by IC50 using fluorescence detection
http://purl.obolibrary.org/obo/OBI_0001928,selection
http://purl.obolibrary.org/obo/OBI_0000455,consume data function
http://purl.obolibrary.org/obo/OBI_0001141,individual organism identifier
http://purl.obolibrary.org/obo/OBI_0500022,stopping rule
http://purl.obolibrary.org/obo/OBI_0001640,biological activity assay measuring epitope specific immunoglobulin-mediated antigen activation
http://purl.obolibrary.org/obo/OBI_0002072,assay measuring qualitiative binding of a MHC:ligand complex
