x,xl
http://purl.obolibrary.org/obo/PO_0025338,collective plant organ structure development stage
http://purl.obolibrary.org/obo/PO_0025571,multi-tissue plant structure development stage
http://purl.obolibrary.org/obo/PO_0025423,plant tissue development stage
http://purl.obolibrary.org/obo/CARO_0030000,biological entity
http://purl.obolibrary.org/obo/PO_0025131,plant anatomical entity
http://purl.obolibrary.org/obo/PO_0025368,trichome development stage
http://purl.obolibrary.org/obo/PO_0007033,whole plant development stage
http://purl.obolibrary.org/obo/CARO_0001010,organism or virus or viroid
http://purl.obolibrary.org/obo/GO_0008150,biological_process
http://purl.obolibrary.org/obo/GO_0003674,molecular_function
http://purl.obolibrary.org/obo/NCBITaxon_131567,cellular organisms
