x,xl
http://purl.obolibrary.org/obo/UBERON_0007713,fourth sacral spinal ganglion
http://purl.obolibrary.org/obo/CL_1000380,type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth
http://purl.obolibrary.org/obo/UBERON_0012194,superior intercostal vein
http://purl.obolibrary.org/obo/UBERON_0001271,pelvic girdle region
http://purl.obolibrary.org/obo/UBERON_0001599,stapedius muscle
http://purl.obolibrary.org/obo/UBERON_0023901,piriform cortex layer 1b
http://purl.obolibrary.org/obo/UBERON_0016501,muscularis mucosae of fundus of stomach
http://purl.obolibrary.org/obo/UBERON_3010191,calcar anterior
http://purl.obolibrary.org/obo/UBERON_0000089,hypoblast (generic)
http://purl.obolibrary.org/obo/UBERON_0010133,neuroendocrine gland
http://purl.obolibrary.org/obo/UBERON_0009917,kidney corticomedullary boundary
http://purl.obolibrary.org/obo/UBERON_3010106,tympanic papilla
http://purl.obolibrary.org/obo/UBERON_0022314,superior colliculus stratum zonale
http://purl.obolibrary.org/obo/UBERON_0022282,secretion of Harderian gland
http://purl.obolibrary.org/obo/UBERON_0010843,clavicle cartilage element
http://purl.obolibrary.org/obo/UBERON_2005292,distal late tubule
http://purl.obolibrary.org/obo/UBERON_0006790,deep white layer of superior colliculus
http://purl.obolibrary.org/obo/UBERON_0000431,ventral medial complex of thalamus
http://purl.obolibrary.org/obo/UBERON_2005380,dorsal fin proximal radial bone 3
http://purl.obolibrary.org/obo/UBERON_0004334,proximal phalanx of pedal digit 3
http://purl.obolibrary.org/obo/UBERON_0015098,distal carpal bone 5 pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_5103625,manual digit 5 digitopodial skeleton
http://purl.obolibrary.org/obo/UBERON_0010528,pneumatic cavity of bone
http://purl.obolibrary.org/obo/UBERON_0009975,remnant of lumen of Rathke's pouch
http://purl.obolibrary.org/obo/UBERON_0007317,superficial external pudendal artery
http://purl.obolibrary.org/obo/UBERON_0001367,external anal sphincter
http://purl.obolibrary.org/obo/UBERON_0009919,ureter smooth muscle
http://purl.obolibrary.org/obo/UBERON_0001715,oculomotor nuclear complex
http://purl.obolibrary.org/obo/UBERON_0004353,female inguinal canal
http://purl.obolibrary.org/obo/UBERON_0018245,deep cervical thymus
http://purl.obolibrary.org/obo/UBERON_0006218,common atrial chamber
http://purl.obolibrary.org/obo/UBERON_0012321,deep cervical artery
http://purl.obolibrary.org/obo/CL_0000851,neuromast mantle cell
