x,xl
http://purl.obolibrary.org/obo/ZFS_0000031,Pharyngula:Prim-25
http://purl.obolibrary.org/obo/ZFS_0000009,Blastula:256-cell
http://purl.obolibrary.org/obo/ZFA_0001643,anatomical space
http://purl.obolibrary.org/obo/ZFA_0001689,anatomical line
http://purl.obolibrary.org/obo/ZFS_0000036,Larval:Day 4
http://purl.obolibrary.org/obo/ZFS_0000021,Gastrula:90%-epiboly
http://purl.obolibrary.org/obo/ZFS_0000040,Larval:Days 14-20
http://purl.obolibrary.org/obo/ZFS_0000027,Segmentation:20-25 somites
http://purl.obolibrary.org/obo/ZFS_0000018,Gastrula:Germ-ring
http://purl.obolibrary.org/obo/ZFS_0000012,Blastula:High
http://purl.obolibrary.org/obo/ZFS_0000005,Cleavage:16-cell
http://purl.obolibrary.org/obo/ZFS_0000032,Pharyngula:High-pec
http://purl.obolibrary.org/obo/ZFS_0000038,Larval:Day 6
http://purl.obolibrary.org/obo/ZFA_0001093,unspecified
http://purl.obolibrary.org/obo/ZFS_0000037,Larval:Day 5
http://purl.obolibrary.org/obo/ZFS_0000022,Gastrula:Bud
http://purl.obolibrary.org/obo/ZFS_0000014,Blastula:Sphere
http://purl.obolibrary.org/obo/ZFS_0000028,Segmentation:26+ somites
http://purl.obolibrary.org/obo/ZFS_0000041,Larval:Days 21-29
http://purl.obolibrary.org/obo/ZFS_0000019,Gastrula:Shield
http://purl.obolibrary.org/obo/ZFS_0000042,Juvenile:Days 30-44
http://purl.obolibrary.org/obo/ZFS_0000000,Unknown
http://purl.obolibrary.org/obo/ZFS_0000013,Blastula:Oblong
http://purl.obolibrary.org/obo/ZFS_0000006,Cleavage:32-cell
http://purl.obolibrary.org/obo/ZFS_0000033,Hatching:Long-pec
http://purl.obolibrary.org/obo/ZFS_0000039,Larval:Days 7-13
http://purl.obolibrary.org/obo/ZFA_0000037,anatomical structure
http://purl.obolibrary.org/obo/ZFS_0000029,Pharyngula:Prim-5
http://purl.obolibrary.org/obo/ZFS_0000015,Blastula:Dome
http://purl.obolibrary.org/obo/ZFS_0000023,Segmentation:1-4 somites
http://purl.obolibrary.org/obo/ZFS_0000002,Cleavage:2-cell
http://purl.obolibrary.org/obo/ZFS_0000043,Juvenile:Days 45-89
http://purl.obolibrary.org/obo/ZFA_0001487,portion of organism substance
http://purl.obolibrary.org/obo/ZFS_0000007,Cleavage:64-cell
http://purl.obolibrary.org/obo/ZFA_0005594,anatomical surface
http://purl.obolibrary.org/obo/ZFS_0000001,Zygote:1-cell
http://purl.obolibrary.org/obo/ZFS_0000034,Hatching:Pec-fin
http://purl.obolibrary.org/obo/ZFS_0000010,Blastula:512-cell
http://purl.obolibrary.org/obo/ZFS_0000024,Segmentation:5-9 somites
http://purl.obolibrary.org/obo/ZFS_0000003,Cleavage:4-cell
http://purl.obolibrary.org/obo/ZFS_0000016,Blastula:30%-epiboly
http://purl.obolibrary.org/obo/ZFS_0000044,Adult
http://purl.obolibrary.org/obo/ZFS_0000008,Blastula:128-cell
http://purl.obolibrary.org/obo/ZFS_0000030,Pharyngula:Prim-15
http://purl.obolibrary.org/obo/ZFS_0000026,Segmentation:14-19 somites
http://purl.obolibrary.org/obo/ZFS_0000035,Larval:Protruding-mouth
http://purl.obolibrary.org/obo/ZFS_0000020,Gastrula:75%-epiboly
http://purl.obolibrary.org/obo/ZFS_0000025,Segmentation:10-13 somites
http://purl.obolibrary.org/obo/ZFS_0000011,Blastula:1k-cell
http://purl.obolibrary.org/obo/ZFS_0000004,Cleavage:8-cell
http://purl.obolibrary.org/obo/ZFS_0000017,Gastrula:50%-epiboly
