CORE:0000004	charge	MESH:M0008290	Charges
CORE:0000008	proton	MESH:D011522	Protons
CORE:0000009	neutron	MESH:D009502	Neutrons
CORE:0000010	electron	MESH:D004581	Electronics
CORE:0000011	atom	MESH:M0014533	Atomizers
CORE:0000015	protein	MESH:D011506	Proteins
CORE:0000017	cell	MESH:D002477	Cells
CORE:0000020	cell component	MESH:D022082	Cellular Structures
CORE:0000022	organism	MESH:D009938	Organizations
CORE:0000023	human	MESH:D006801	Humans
CORE:0000025	organization	MESH:M0015415	Organizations
CORE:0000027	instrument	MESH:M0030489	instrumentation
CORE:0000028	reagent	MESH:M0011227	Reagents
CORE:0000029	vaccine	MESH:C050598	vaccin
CORE:0000037	biological process	MESH:D055694	[OBSOLETE] Biological Processes
CORE:0000051	nucleotide	MESH:D009711	Nucleotides
CORE:0000052	adenine	MESH:D000225	Adenine
CORE:0000053	guanine	MESH:D006147	Guanine
CORE:0000054	salicylic acid	MESH:D020156	Salicylic Acid
CORE:0000060	tumor	MESH:D009369	Neoplasms
CORE:0000067	ecosystem	MESH:D017753	Ecosystem
