c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000001	quality	Wikidata:Q1207505	quality			Wikidata:Q33104279	philosophical concept	low	quality			Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q574512|Wikidata:Q7268710	Quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q14691125	Quality			Wikidata:Q17343829	unincorporated community	low	quality			Wikidata:Q1207505|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q574512|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q2743128	Quality			Wikidata:Q482994	album	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q574512|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q30612852	Quality			Wikidata:Q482994	album	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q574512|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q50322074	Quality			Wikidata:Q3305213	painting	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q56442750|Wikidata:Q574512|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q56442750	Quality			Wikidata:Q13442814	scholarly article	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q574512|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|quality|Quality	
CORE:0000001	quality	Wikidata:Q574512	quality			Wikidata:Q1969448	term	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q7268710	quality|Quality|Quality|Quality|Quality|Quality|Quality	
CORE:0000001	quality	Wikidata:Q7268710	Quality			Wikidata:Q17343829	unincorporated community	low	quality			Wikidata:Q1207505|Wikidata:Q14691125|Wikidata:Q2743128|Wikidata:Q30612852|Wikidata:Q50322074|Wikidata:Q56442750|Wikidata:Q574512	quality|Quality|Quality|Quality|Quality|Quality|quality	
CORE:0000003	mass	Wikidata:Q11423	mass	CORE:0000001	quality	Wikidata:Q28733284|Wikidata:Q30337748|Wikidata:Q3386703	scalar magnitude|ISQ base quantity|extensive physical quantity	low	mass			Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783972|Wikidata:Q6783974	Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q16876520	Mass	CORE:0000001	quality	Wikidata:Q101352	family name	low	mass			Wikidata:Q11423|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783972|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass|Mass	
