?x	?xl
<http://purl.obolibrary.org/obo/ENVO_00005786>	"upland soil"
<http://purl.obolibrary.org/obo/ENVO_02000119>	"oil shale"
<http://purl.obolibrary.org/obo/ENVO_01001231>	"kerogen"@en
<http://purl.obolibrary.org/obo/ENVO_01000152>	"iron-reducing sediment"
<http://purl.obolibrary.org/obo/ENVO_01001415>	"homogenitus cloud"@en
<http://purl.obolibrary.org/obo/ENVO_00002247>	"nitisol"
<http://purl.obolibrary.org/obo/ENVO_02000025>	"sweat material"
<http://purl.obolibrary.org/obo/ENVO_01000341>	"subalpine"
<http://purl.obolibrary.org/obo/ENVO_01001202>	"alluvium"@en
<http://purl.obolibrary.org/obo/ENVO_01000203>	"environmental condition"
<http://purl.obolibrary.org/obo/ENVO_01001118>	"heat-treated animal manure"@en
<http://purl.obolibrary.org/obo/ENVO_00002200>	"sea ice"
<http://purl.obolibrary.org/obo/ENVO_00003094>	"L-(+)-tartrate enriched soil"
<http://purl.obolibrary.org/obo/ENVO_01001839>	"safe environment for living organisms"@en
<http://purl.obolibrary.org/obo/ENVO_01001089>	"aerosolised solids"@en
<http://purl.obolibrary.org/obo/ENVO_00002875>	"oil contaminated soil"
<http://purl.obolibrary.org/obo/ENVO_02000113>	"welding fume"
<http://purl.obolibrary.org/obo/ENVO_01000460>	"asphalt"
<http://purl.obolibrary.org/obo/ENVO_01001159>	"cirrus homogenitus cloud"@en
<http://purl.obolibrary.org/obo/ENVO_00002241>	"leptosol"
<http://purl.obolibrary.org/obo/ENVO_09000003>	"solubility of carbon atom in water"
<http://purl.obolibrary.org/obo/ENVO_00002129>	"anaerobic sludge"
<http://purl.obolibrary.org/obo/ENVO_01001527>	"plastic-frozen soil"@en
<http://purl.obolibrary.org/obo/ENVO_00005777>	"steppe soil"
<http://purl.obolibrary.org/obo/ENVO_00002035>	"meteorite"
<http://purl.obolibrary.org/obo/ENVO_03500006>	"food desert"@en
<http://purl.obolibrary.org/obo/ENVO_3200034>	"concentration of samarium in water ice"
<http://purl.obolibrary.org/obo/ENVO_09000005>	"amount of carbon atom in soil"
<http://purl.obolibrary.org/obo/ENVO_01001474>	"astronomical observatory system"@en
<http://purl.obolibrary.org/obo/ENVO_00003044>	"brine"
<http://purl.obolibrary.org/obo/ENVO_01000154>	"carbon dioxide-reducing sediment"
<http://purl.obolibrary.org/obo/ENVO_01001016>	"glory"@en
<http://purl.obolibrary.org/obo/ENVO_03000071>	"first year ice"@en
<http://purl.obolibrary.org/obo/ENVO_00003085>	"skatole enriched soil"
<http://purl.obolibrary.org/obo/ENVO_01000379>	"highland subtropical"
<http://purl.obolibrary.org/obo/ENVO_01000554>	"hydrocarbon gas"@en
<http://purl.obolibrary.org/obo/ENVO_00010358>	"fomite"
<http://purl.obolibrary.org/obo/ENVO_00005756>	"lawn soil"
<http://purl.obolibrary.org/obo/ENVO_04000014>	"particulate organic nitrogen"@en
<http://purl.obolibrary.org/obo/ENVO_00002231>	"alisol"
<http://purl.obolibrary.org/obo/ENVO_00005800>	"desert sand"
<http://purl.obolibrary.org/obo/ENVO_3100019>	"concentration of lutein in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01000662>	"scoria"@en
