?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00004884>	"nurse cell fusome"
<http://purl.obolibrary.org/obo/FBbt_00110751>	"presumptive prothoracic unguis"
<http://purl.obolibrary.org/obo/FBbt_00000168>	"embryonic prothoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00001675>	"embryonic/larval heart"
<http://purl.obolibrary.org/obo/FBbt_00111565>	"leg posterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00000090>	"dorsal ridge"
<http://purl.obolibrary.org/obo/FBbt_00003060>	"adult abdominal dorsal branch 8"
<http://purl.obolibrary.org/obo/FBbt_00004869>	"germarium region 2"
<http://purl.obolibrary.org/obo/FBbt_00005916>	"head mesoderm derived embryonic hemocyte"
<http://purl.obolibrary.org/obo/FBbt_00008118>	"metathoracic leg disc posterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00003527>	"adult circular muscle"
<http://purl.obolibrary.org/obo/FBbt_00003004>	"adult"
<http://purl.obolibrary.org/obo/FBbt_00005957>	"Dd11 neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00005790>	"initial segment of Malpighian tubule"
<http://purl.obolibrary.org/obo/FBbt_00048386>	"hypandrial transverse rod"
<http://purl.obolibrary.org/obo/FBbt_00005223>	"scolopidial dendrite"
<http://purl.obolibrary.org/obo/FBbt_00005176>	"eo sensory structure"
<http://purl.obolibrary.org/obo/FBbt_00005580>	"transverse connective primordium"
<http://purl.obolibrary.org/obo/FBbt_00004568>	"prothoracic epimeron"
<http://purl.obolibrary.org/obo/FBbt_00000473>	"ventral transverse muscle"
<http://purl.obolibrary.org/obo/FBbt_00100625>	"neuroblast BLP1"
<http://purl.obolibrary.org/obo/FBbt_00004490>	"postfrons"
<http://purl.obolibrary.org/obo/FBbt_00110000>	"mushroom body alpha lobe slice"
<http://purl.obolibrary.org/obo/FBbt_00005423>	"foregut anlage in statu nascendi"
<http://purl.obolibrary.org/obo/FBbt_00001810>	"posterior dorsal histoblast nest abdominal 1"
<http://purl.obolibrary.org/obo/FBbt_00003667>	"lateral ellipsoid body tract"
<http://purl.obolibrary.org/obo/FBbt_00003185>	"adult oenocyte"
<http://purl.obolibrary.org/obo/FBbt_00001763>	"peripodial stalk"
<http://purl.obolibrary.org/obo/FBbt_00004191>	"cornea"
<http://purl.obolibrary.org/obo/FBbt_00110790>	"presumptive metathoracic trochanter sensillum campaniformium Sc+5"
