?x	?xl
<http://purl.obolibrary.org/obo/HP_0006467>	"Limited shoulder movement"
<http://purl.obolibrary.org/obo/HP_0500107>	"Isolated diastolic hypotension"
<http://purl.obolibrary.org/obo/HP_0410301>	"Partial absence of specific antibody response to pneumococcus vaccine"
<http://purl.obolibrary.org/obo/HP_0032927>	"Focal impaired awareness undressing automatism seizure"
<http://purl.obolibrary.org/obo/HP_0006555>	"Diffuse hepatic steatosis"
<http://purl.obolibrary.org/obo/HP_0001241>	"Capitate-hamate fusion"
<http://purl.obolibrary.org/obo/HP_0012781>	"Mid-frequency hearing loss"
<http://purl.obolibrary.org/obo/HP_0006368>	"Forearm reduction defects"
<http://purl.obolibrary.org/obo/HP_0011854>	"Hemoperitoneum"
<http://purl.obolibrary.org/obo/HP_0001949>	"Hypokalemic alkalosis"
<http://purl.obolibrary.org/obo/HP_0009500>	"Abnormality of the epiphysis of the middle phalanx of the 2nd finger"
<http://purl.obolibrary.org/obo/HP_0032534>	"Exacerbated by methylxanthine ingestion"
<http://purl.obolibrary.org/obo/HP_3000073>	"Abnormality of levator veli palatini muscle"
<http://purl.obolibrary.org/obo/HP_0000148>	"Vaginal atresia"
<http://purl.obolibrary.org/obo/HP_0011942>	"Increased urinary sulfite"
<http://purl.obolibrary.org/obo/HP_0006659>	"Internally rotated shoulders"
<http://purl.obolibrary.org/obo/HP_0002777>	"Tracheal stenosis"
<http://purl.obolibrary.org/obo/HP_0100750>	"Atelectasis"
<http://purl.obolibrary.org/obo/HP_0005222>	"Bowel diverticulosis"
<http://purl.obolibrary.org/obo/HP_0410394>	"Increased proportion of effector memory CD4-positive, alpha-beta T cells"
<http://purl.obolibrary.org/obo/HP_0100573>	"Muscular cardiac diverticulum"
<http://purl.obolibrary.org/obo/HP_0005035>	"Shortening of all phalanges of the toes"
<http://purl.obolibrary.org/obo/HP_0000236>	"Abnormality of the anterior fontanelle"
<http://purl.obolibrary.org/obo/HP_0012752>	"Focal T2 hypointense basal ganglia lesion"
<http://purl.obolibrary.org/obo/HP_0011825>	"Tented philtrum"
<http://purl.obolibrary.org/obo/HP_0010825>	"Abnormality of the eleventh cranial nerve"
<http://purl.obolibrary.org/obo/HP_0008666>	"Impaired histidine renal tubular absorption"
<http://purl.obolibrary.org/obo/HP_0002865>	"Medullary thyroid carcinoma"
<http://purl.obolibrary.org/obo/HP_0025389>	"Pulmonary interstitial high-resolution computed tomography abnormality"@en
<http://purl.obolibrary.org/obo/HP_0007668>	"Impaired pursuit initiation and maintenance"
<http://purl.obolibrary.org/obo/HP_0025431>	"Staccato cry"@en
<http://purl.obolibrary.org/obo/HP_0100661>	"Trigeminal neuralgia"
<http://purl.obolibrary.org/obo/HP_0010024>	"Epiphyseal stippling of the first metacarpal"
<http://purl.obolibrary.org/obo/HP_0410295>	"Complete or near-complete absence of specific antibody response to tetanus vaccine"
<http://purl.obolibrary.org/obo/HP_0000119>	"Abnormality of the genitourinary system"
<http://purl.obolibrary.org/obo/HP_0100474>	"Symphalangism affecting the proximal phalanx of the 4th toe"
<http://purl.obolibrary.org/obo/HP_0010913>	"Hyperisoleucinemia"
<http://purl.obolibrary.org/obo/HP_0008754>	"Laryngeal calcification"
