?x	?xl
<http://purl.obolibrary.org/obo/MAXO_0000042>	"therapeutic disease avoidance"@en
<http://purl.obolibrary.org/obo/MAXO_0000471>	"diagnostic procedure avoidance"
<http://purl.obolibrary.org/obo/MAXO_0000614>	"immunofluorescence assays"@en
<http://purl.obolibrary.org/obo/MAXO_0000158>	"antiparasitic agent therapy"@en
<http://purl.obolibrary.org/obo/UBERON_0034876>	"future neurohypophysis"
<http://purl.obolibrary.org/obo/UBERON_0009122>	"adenohypophyseal placode"
<http://purl.obolibrary.org/obo/UBERON_0003037>	"septum"
<http://purl.obolibrary.org/obo/MAXO_0001020>	"general anesthetic agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000021>	"palliative therapeutics"@en
<http://purl.obolibrary.org/obo/MAXO_0000089>	"calorie restrictive diet intake"@en
<http://purl.obolibrary.org/obo/MAXO_0000585>	"microbial culture procedure"@en
<http://purl.obolibrary.org/obo/MAXO_0010076>	"rapeseed flour intake avoidance"
<http://purl.obolibrary.org/obo/MAXO_0000205>	"calcium channel modifying agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0002000>	"cannabis consumption avoidance"
<http://purl.obolibrary.org/obo/UBERON_0004770>	"articular system"
<http://purl.obolibrary.org/obo/UBERON_0011215>	"central nervous system cell part cluster"
<http://purl.obolibrary.org/obo/UBERON_0034711>	"cortical preplate"
<http://purl.obolibrary.org/obo/MAXO_0000518>	"extubation procedure"@en
<http://purl.obolibrary.org/obo/UBERON_0005795>	"embryonic uterus"
<http://purl.obolibrary.org/obo/UBERON_0007285>	"presumptive paraxial mesoderm"
<http://purl.obolibrary.org/obo/UBERON_0004142>	"outflow tract septum"
<http://purl.obolibrary.org/obo/MAXO_0000062>	"antineoplastic agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000152>	"augmentation therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000462>	"cold water immersion therapy"@en
<http://purl.obolibrary.org/obo/UBERON_0034878>	"prechordal mesoderm"
<http://purl.obolibrary.org/obo/GO_0043227>	"membrane-bounded organelle"
<http://purl.obolibrary.org/obo/MAXO_0000535>	"surgical aspiration procedure"@en
<http://purl.obolibrary.org/obo/MAXO_0000107>	"multivitamin supplementation"@en
<http://purl.obolibrary.org/obo/MAXO_0010070>	"brussels sprout intake avoidance"
<http://purl.obolibrary.org/obo/MAXO_0000068>	"transplantation surgical procedure"@en
<http://purl.obolibrary.org/obo/MAXO_0000080>	"stress management therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000323>	"sedatives and hypnotic agent therapy"@en
<http://purl.obolibrary.org/obo/MAXO_0000606>	"procalcitonin measurement"@en
<http://purl.obolibrary.org/obo/UBERON_0000066>	"fully formed stage"
