?x	?xl
<http://purl.obolibrary.org/obo/MCO_0000367>	"retardation phase"@en
<http://purl.obolibrary.org/obo/MCO_0000369>	"phase of decline"@en
<http://purl.obolibrary.org/obo/MCO_0000370>	"early exponential phase"@en
<http://purl.obolibrary.org/obo/MCO_0000368>	"stationary phase"@en
<http://purl.obolibrary.org/obo/MCO_0000371>	"early stationary phase"@en
<http://purl.obolibrary.org/obo/MCO_0000364>	"lag phase"@en
<http://purl.obolibrary.org/obo/MCO_0000373>	"late exponential phase"@en
<http://purl.obolibrary.org/obo/MCO_0000372>	"early to mid exponential phase"@en
<http://purl.obolibrary.org/obo/MCO_0000365>	"acceleration phase"@en
<http://purl.obolibrary.org/obo/MCO_00000000>	"mco"@en
<http://purl.obolibrary.org/obo/MCO_0000374>	"mid exponential phase"@en
<http://purl.obolibrary.org/obo/MCO_0000366>	"exponential phase"@en
<http://purl.obolibrary.org/obo/MCO_0000342>	"growth phase"@en
<http://purl.obolibrary.org/obo/MCO_0000375>	"mid to late exponential phase"@en
