?x	?xl
<http://identifiers.org/hgnc/1482>	"CAPN5"
<http://identifiers.org/hgnc/7863>	"NNT"
<http://identifiers.org/hgnc/4400>	"GNB3"
<http://purl.obolibrary.org/obo/UBERON_0007702>	"tract of brain"
<http://identifiers.org/hgnc/9678>	"PTPRO"
<http://purl.obolibrary.org/obo/HP_0000315>	"Abnormality of the orbital region"
<http://purl.obolibrary.org/obo/HP_0005387>	"Combined immunodeficiency"
<http://identifiers.org/hgnc/28636>	"B9D2"
<http://identifiers.org/hgnc/32952>	"SNORD118"
<http://identifiers.org/hgnc/9457>	"PLPBP"
<http://purl.obolibrary.org/obo/UBERON_0001733>	"soft palate"
<http://purl.obolibrary.org/obo/UBERON_0006871>	"embryonic footplate"
<http://purl.obolibrary.org/obo/HP_0000964>	"Eczema"
<http://identifiers.org/hgnc/9006>	"PITX3"
<http://purl.obolibrary.org/obo/UBERON_0004571>	"systemic arterial system"
<http://purl.obolibrary.org/obo/HP_0010976>	"B lymphocytopenia"
<http://identifiers.org/hgnc/19316>	"P3H1"
<http://purl.obolibrary.org/obo/HP_0004447>	"Poikilocytosis"
<http://purl.obolibrary.org/obo/HP_0009804>	"Reduced number of teeth"
<http://identifiers.org/hgnc/6947>	"MCM4"
<http://identifiers.org/hgnc/9717>	"PEX2"
<http://identifiers.org/hgnc/3467>	"ESR1"
<http://identifiers.org/hgnc/28209>	"CEP19"
<http://purl.obolibrary.org/obo/UBERON_0011861>	"aorta collagen fibril"
<http://identifiers.org/hgnc/3688>	"FGFR1"
<http://identifiers.org/hgnc/6949>	"MCM6"
<http://identifiers.org/hgnc/11786>	"THBS2"
<http://purl.obolibrary.org/obo/HP_0012759>	"Neurodevelopmental abnormality"
<http://identifiers.org/hgnc/1736>	"CDC42"
<http://identifiers.org/hgnc/11495>	"SYN2"
<http://identifiers.org/hgnc/28093>	"BBIP1"
<http://identifiers.org/hgnc/4401>	"GNB5"
<http://purl.obolibrary.org/obo/UBERON_0001020>	"nervous system commissure"
<http://purl.obolibrary.org/obo/HP_0003560>	"Muscular dystrophy"
<http://identifiers.org/hgnc/10345>	"RPL35A"
<http://identifiers.org/hgnc/11356>	"STAG3"
<http://purl.obolibrary.org/obo/HP_0100303>	"Muscle fiber cytoplasmatic inclusion bodies"
<http://purl.obolibrary.org/obo/HP_0032039>	"Abnormality of the ocular adnexa"
<http://purl.obolibrary.org/obo/HP_0000230>	"Gingivitis"
<http://purl.obolibrary.org/obo/HP_0002912>	"Methylmalonic acidemia"
<http://purl.obolibrary.org/obo/HP_0001289>	"Confusion"
<http://purl.obolibrary.org/obo/UBERON_0007278>	"presumptive sinus venosus"
<http://identifiers.org/hgnc/9679>	"PTPRQ"
<http://purl.obolibrary.org/obo/HP_0000316>	"Hypertelorism"
<http://identifiers.org/hgnc/10418>	"RPS28"
<http://identifiers.org/hgnc/25583>	"ODAD2"
<http://purl.obolibrary.org/obo/HP_0025408>	"Abnormal spleen morphology"
<http://purl.obolibrary.org/obo/HP_0008207>	"Primary adrenal insufficiency"
<http://identifiers.org/hgnc/13128>	"ZNF711"
<http://identifiers.org/hgnc/19317>	"P3H2"
<http://purl.obolibrary.org/obo/UBERON_0004572>	"arterial system"
<http://purl.obolibrary.org/obo/HP_0002904>	"Hyperbilirubinemia"
<http://identifiers.org/hgnc/1546>	"SERPINH1"
<http://identifiers.org/hgnc/15868>	"ABHD12"
<http://identifiers.org/hgnc/23658>	"DELEC1"
<http://identifiers.org/hgnc/20207>	"B3GLCT"
<http://identifiers.org/hgnc/4800>	"HSD17B10"
<http://purl.obolibrary.org/obo/UBERON_0011862>	"pulmonary collagen fibril"
<http://identifiers.org/hgnc/20716>	"KLC2"
<http://identifiers.org/hgnc/3689>	"FGFR2"
<http://identifiers.org/hgnc/4458>	"GPI"
<http://identifiers.org/hgnc/29450>	"GLIS2"
<http://identifiers.org/hgnc/18865>	"KCNT1"
<http://purl.obolibrary.org/obo/GO_0005775>	"vacuolar lumen"
<http://purl.obolibrary.org/obo/HP_0002748>	"Rickets"
<http://identifiers.org/hgnc/19309>	"KANK1"
<http://identifiers.org/hgnc/29300>	"KANK2"
<http://purl.obolibrary.org/obo/UBERON_0001021>	"nerve"
<http://identifiers.org/hgnc/9016>	"PKHD1"
<http://identifiers.org/hgnc/30000>	"BBS9"
<http://purl.obolibrary.org/obo/HP_0030186>	"Kinetic tremor"
<http://identifiers.org/hgnc/7865>	"NODAL"
<http://identifiers.org/hgnc/13508>	"BPY2"
<http://purl.obolibrary.org/obo/HP_0002185>	"Neurofibrillary tangles"
<http://identifiers.org/hgnc/14906>	"NIN"
<http://identifiers.org/hgnc/4092>	"GAD1"
<http://identifiers.org/hgnc/10419>	"RPS29"
<http://identifiers.org/hgnc/8820>	"PDYN"
<http://identifiers.org/hgnc/924>	"B4GALT1"
<http://identifiers.org/hgnc/30664>	"CLPB"
<http://identifiers.org/hgnc/1033>	"BDNF"
<http://purl.obolibrary.org/obo/HP_0010978>	"Abnormality of immune system physiology"
<http://purl.obolibrary.org/obo/UBERON_0003528>	"brain gray matter"
<http://purl.obolibrary.org/obo/HP_0000966>	"Hypohidrosis"
<http://purl.obolibrary.org/obo/HP_0002224>	"Woolly hair"
<http://identifiers.org/hgnc/16192>	"SLC17A9"
<http://identifiers.org/hgnc/11724>	"TEK"
<http://identifiers.org/hgnc/3026>	"DRD5"
<http://identifiers.org/hgnc/9719>	"PEX5"
<http://identifiers.org/hgnc/9008>	"PKD1"
<http://identifiers.org/hgnc/12298>	"TRH"
<http://identifiers.org/hgnc/4801>	"HADHA"
