?x	?xl
<http://purl.obolibrary.org/obo/MP_0002325>	"abnormal pulmonary diffusing capacity"
<http://purl.obolibrary.org/obo/MP_0000636>	"enlarged pituitary gland"
<http://purl.obolibrary.org/obo/MP_0001719>	"absent vitelline blood vessels"
<http://purl.obolibrary.org/obo/MP_0030944>	"abnormal pericentriolar material morphology"
<http://purl.obolibrary.org/obo/MP_0003520>	"abnormal labia minora morphology"
<http://purl.obolibrary.org/obo/MP_0001313>	"increased incidence of corneal inflammation"
<http://purl.obolibrary.org/obo/MP_0011760>	"abnormal ureteric bud tip morphology"
<http://purl.obolibrary.org/obo/MP_0011738>	"anasarca"
<http://purl.obolibrary.org/obo/MP_0014037>	"stranguria"
<http://purl.obolibrary.org/obo/MP_0004961>	"increased prostate gland weight"
<http://purl.obolibrary.org/obo/MP_0013917>	"persistent right 6th pharyngeal arch artery"
<http://purl.obolibrary.org/obo/MP_0002754>	"dilated heart right ventricle"
<http://purl.obolibrary.org/obo/MP_0009250>	"abnormal appendicular skeleton morphology"
<http://purl.obolibrary.org/obo/MP_0030118>	"rhinosinusitis"
<http://purl.obolibrary.org/obo/MP_0010979>	"small ureteric bud"
<http://purl.obolibrary.org/obo/MP_0012342>	"high preference for an addictive substance"
<http://purl.obolibrary.org/obo/MP_0006084>	"abnormal circulating phospholipid level"
<http://purl.obolibrary.org/obo/MP_0010705>	"absent metoptic pillar"
<http://purl.obolibrary.org/obo/MP_0011583>	"abnormal alkaline phosphatase activity"
<http://purl.obolibrary.org/obo/MP_0013783>	"absent mammary duct terminal end bud"
<http://purl.obolibrary.org/obo/MP_0006271>	"abnormal involution of the mammary gland"
<http://purl.obolibrary.org/obo/MP_0020242>	"enlarged paws"
<http://purl.obolibrary.org/obo/MP_0010688>	"hair follicle outer root sheath hyperplasia"
<http://purl.obolibrary.org/obo/MP_0010571>	"shortened ST segment"
<http://purl.obolibrary.org/obo/MP_0003123>	"paternal imprinting"
<http://purl.obolibrary.org/obo/MP_0012750>	"absent cardiac neural crest cells"
<http://purl.obolibrary.org/obo/MP_0010875>	"increased bone volume"
<http://purl.obolibrary.org/obo/MP_0012728>	"abnormal somite border morphology"
<http://purl.obolibrary.org/obo/MP_0010454>	"abnormal truncus arteriosus septation"
<http://purl.obolibrary.org/obo/MP_0004564>	"enlarged myocardial fiber"
<http://purl.obolibrary.org/obo/MP_0002533>	"abnormal type III hypersensitivity reaction"
<http://purl.obolibrary.org/obo/MP_0004341>	"absent scapula"
<http://purl.obolibrary.org/obo/MP_0012633>	"increased phospholipase A2 level"
<http://purl.obolibrary.org/obo/MP_0008083>	"decreased single-positive T cell number"
<http://purl.obolibrary.org/obo/MP_0013332>	"peliosis"
<http://purl.obolibrary.org/obo/MP_0030392>	"premature fontanelle closure"
<http://purl.obolibrary.org/obo/MP_0002989>	"small kidney"
<http://purl.obolibrary.org/obo/MP_0008286>	"abnormal hippocampus molecular cell layer"
<http://purl.obolibrary.org/obo/MP_0008462>	"abnormal medium spiny neuron morphology"
<http://purl.obolibrary.org/obo/MP_0013215>	"abnormal haptoglobin level"
<http://purl.obolibrary.org/obo/MP_0010350>	"increased pituitary adenohypophysis tumor incidence"
<http://purl.obolibrary.org/obo/MP_0010003>	"abnormal ansiform lobule crus II morphology"
<http://purl.obolibrary.org/obo/MP_0004092>	"absent Z line"
<http://purl.obolibrary.org/obo/MP_0012203>	"abnormal neuronal stem cell morphology"
<http://purl.obolibrary.org/obo/MP_0008683>	"abnormal interleukin-18 secretion"
<http://purl.obolibrary.org/obo/MP_0001084>	"abnormal petrosal ganglion morphology"
<http://purl.obolibrary.org/obo/MP_0013436>	"increased CD8-positive, naive alpha-beta T cell number"
<http://purl.obolibrary.org/obo/MP_0005494>	"esophagogastric junction metaplasia"
<http://purl.obolibrary.org/obo/MP_0012507>	"midbrain atrophy"
<http://purl.obolibrary.org/obo/MP_0009759>	"abnormal hair follicle bulge morphology"
<http://purl.obolibrary.org/obo/MP_0011444>	"abnormal renal water homeostasis"
<http://purl.obolibrary.org/obo/MP_0001953>	"respiratory failure"
<http://purl.obolibrary.org/obo/MP_0005554>	"decreased circulating creatinine level"
<http://purl.obolibrary.org/obo/MP_0008870>	"increased mature ovarian follicle number"
