?x	?xl
<http://purl.obolibrary.org/obo/NBO_0001632>	"behavioral response to chemical stimulus"@en
<http://purl.obolibrary.org/obo/NBO_0000136>	"saccharin consumption"
<http://purl.obolibrary.org/obo/NBO_0000534>	"post-traumatic stress"
<http://purl.obolibrary.org/obo/NBO_0000104>	"aggressive behavior towards humans"
<http://purl.obolibrary.org/obo/NBO_0020096>	"trail following to resource"@en
<http://purl.obolibrary.org/obo/CHEBI_49110>	"peripheral nervous system drug"
<http://purl.obolibrary.org/obo/NBO_0000246>	"phobia"
<http://purl.obolibrary.org/obo/NBO_0000085>	"depression behavior"
<http://purl.obolibrary.org/obo/CHEBI_59999>	"chemical substance"
<http://purl.obolibrary.org/obo/NBO_0000644>	"voluntary movement behavior phenotype"
<http://purl.obolibrary.org/obo/NBO_0000010>	"reproductive behavior"
<http://purl.obolibrary.org/obo/UBERON_0009616>	"presumptive midbrain"
<http://purl.obolibrary.org/obo/NBO_0000018>	"fear/anxiety related behavior"
<http://purl.obolibrary.org/obo/CHEBI_33893>	"reagent"
<http://purl.obolibrary.org/obo/CHEBI_33636>	"bicyclic compound"
<http://purl.obolibrary.org/obo/NBO_0000675>	"reflex seizure"
<http://purl.obolibrary.org/obo/UBERON_0003084>	"heart primordium"
<http://purl.obolibrary.org/obo/UBERON_0001780>	"spinal nerve"
<http://purl.obolibrary.org/obo/NBO_0000961>	"increased frequency of drinking"@en
<http://purl.obolibrary.org/obo/CHEBI_52211>	"physiological role"
<http://purl.obolibrary.org/obo/NBO_0000207>	"sensory adaptation"
<http://purl.obolibrary.org/obo/NBO_0000003>	"emotional behavior"
<http://purl.obolibrary.org/obo/NBO_0000733>	"right side clonic seizure"
<http://purl.obolibrary.org/obo/CHEBI_33598>	"carbocyclic compound"
<http://purl.obolibrary.org/obo/NBO_0020255>	"displacement behavior"@en
<http://purl.obolibrary.org/obo/UBERON_0000174>	"excreta"
<http://purl.obolibrary.org/obo/UBERON_0005076>	"hindbrain-spinal cord boundary"
<http://purl.obolibrary.org/obo/NBO_0000768>	"emission behavior phenotype"
<http://purl.obolibrary.org/obo/NBO_0000636>	"protective behavior"
<http://purl.obolibrary.org/obo/UBERON_0005501>	"rhombomere lateral wall"
<http://purl.obolibrary.org/obo/NBO_0000580>	"tonic neck reflex"
<http://purl.obolibrary.org/obo/NBO_0000070>	"tilting"
<http://purl.obolibrary.org/obo/CHEBI_33661>	"monocyclic compound"
<http://purl.obolibrary.org/obo/CHEBI_38632>	"membrane transport modulator"
<http://purl.obolibrary.org/obo/UBERON_0007297>	"presumptive pronephric mesoderm"
<http://purl.obolibrary.org/obo/CHEBI_50584>	"alkyl alcohol"
<http://purl.obolibrary.org/obo/NBO_0000588>	"spasm"
<http://purl.obolibrary.org/obo/CHEBI_33292>	"fuel"
<http://purl.obolibrary.org/obo/CHEBI_35480>	"analgesic"
<http://purl.obolibrary.org/obo/NBO_0000310>	"acrophobia"
<http://purl.obolibrary.org/obo/NBO_0000420>	"bruxism"
<http://purl.obolibrary.org/obo/NBO_0000742>	"autoaggressive behavior"
<http://purl.obolibrary.org/obo/NBO_0000304>	"memory loss behavior"
<http://purl.obolibrary.org/obo/NBO_0000573>	"behavioral despair"
<http://purl.obolibrary.org/obo/NBO_0000318>	"balance"
<http://purl.obolibrary.org/obo/NBO_0000414>	"jaw jerk reflex"
<http://purl.obolibrary.org/obo/NBO_0000683>	"lateral temporal lobe epilepsy"
<http://purl.obolibrary.org/obo/CHEBI_36915>	"inorganic cation"
<http://purl.obolibrary.org/obo/NBO_0000428>	"mammalian diving reflex"
<http://purl.obolibrary.org/obo/CHEBI_33285>	"heteroorganic entity"
<http://purl.obolibrary.org/obo/UBERON_0005478>	"sulcus limitans of neural tube"
<http://purl.obolibrary.org/obo/UBERON_0007026>	"presumptive gut"
<http://purl.obolibrary.org/obo/NBO_0000130>	"liquid consumption"
<http://purl.obolibrary.org/obo/CHEBI_50313>	"onium cation"
<http://purl.obolibrary.org/obo/NBO_0000240>	"anorexia nervosa"
<http://purl.obolibrary.org/obo/UBERON_0000465>	"material anatomical entity"
<http://purl.obolibrary.org/obo/CHEBI_36357>	"polyatomic entity"
<http://purl.obolibrary.org/obo/NBO_0000393>	"asymmetrical tonic neck reflex"
<http://purl.obolibrary.org/obo/NBO_0000138>	"liquid aversion"
<http://purl.obolibrary.org/obo/NBO_0000407>	"extensor digitorum reflex"
<http://purl.obolibrary.org/obo/UBERON_0004456>	"entire sense organ system"
<http://purl.obolibrary.org/obo/NBO_0000248>	"obsessive-compulsive disorder"
<http://purl.obolibrary.org/obo/NBO_0000044>	"parental behavior"
<http://purl.obolibrary.org/obo/NBO_0000351>	"body coordination"
<http://purl.obolibrary.org/obo/NBO_0000567>	"stereotypic behavior"
<http://purl.obolibrary.org/obo/NBO_0000279>	"age specific discriminatory behavior"
<http://purl.obolibrary.org/obo/NBO_0000677>	"tonic seizure"
<http://purl.obolibrary.org/obo/UBERON_0015212>	"lateral structure"
<http://purl.obolibrary.org/obo/NBO_0000469>	"stress related behavior"
<http://purl.obolibrary.org/obo/NBO_0000057>	"scratching"
<http://purl.obolibrary.org/obo/UBERON_0011143>	"upper urinary tract"
<http://purl.obolibrary.org/obo/NBO_0000525>	"minor depressive disorder"
<http://purl.obolibrary.org/obo/NBO_0000005>	"reflexive behavior phenotype"
<http://purl.obolibrary.org/obo/NBO_0000122>	"submissive behavior"
<http://purl.obolibrary.org/obo/NBO_0000635>	"avoidance behavior"
<http://purl.obolibrary.org/obo/NBO_0000232>	"distress behavior"
<http://purl.obolibrary.org/obo/NBO_0015002>	"trapping behavior"@en
<http://purl.obolibrary.org/obo/CHEBI_33249>	"organyl group"
<http://purl.obolibrary.org/obo/NBO_0000620>	"frustration behavior"
<http://purl.obolibrary.org/obo/NBO_0000194>	"time-based prospective memory"
<http://purl.obolibrary.org/obo/NBO_0000730>	"auditory kindling induced seizure"
<http://purl.obolibrary.org/obo/NBO_0000628>	"play chasing"
<http://purl.obolibrary.org/obo/CHEBI_75767>	"animal metabolite"
<http://purl.obolibrary.org/obo/NBO_0000993>	"decreased frequency of drinking"@en
<http://purl.obolibrary.org/obo/NBO_0000738>	"gelastic epilepsy"
<http://purl.obolibrary.org/obo/CHEBI_24431>	"chemical entity"
