?x	?xl
<http://purl.obolibrary.org/obo/OBI_0001522>	"sequence assembly algorithm"@en
<http://purl.obolibrary.org/obo/OBI_0001890>	"email address of specimen collector"@en
<http://purl.obolibrary.org/obo/OBI_1110053>	"cancer"@en
<http://purl.obolibrary.org/obo/OBI_0001285>	"in vitro design"
<http://purl.obolibrary.org/obo/OBI_0001823>	"epitope specific chemokine (C-C motif) ligand 21 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001316>	"epitope specific interleukin-21 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001906>	"cancer cell line"
<http://purl.obolibrary.org/obo/OBI_0001432>	"operon identification design"
<http://purl.obolibrary.org/obo/OBI_1110182>	"epitope specific T cell proliferation"@en
<http://purl.obolibrary.org/obo/OBI_0002465>	"age since culture seeding measurement datum"
<http://purl.obolibrary.org/obo/OBI_0002596>	"self interaction identification design"
<http://purl.obolibrary.org/obo/OBI_0001336>	"quality control testing design"
<http://purl.obolibrary.org/obo/OBI_0500011>	"latin square design"
<http://purl.obolibrary.org/obo/OBI_0001275>	"epitope specific interleukin-16 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001208>	"epitope specific T cell activation"
<http://purl.obolibrary.org/obo/OBI_0001254>	"epitope specific interleukin-3 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001394>	"epitope specific cytotoxic T cell degranulation"
<http://purl.obolibrary.org/obo/OBI_0001677>	"epitope specific granulysin production by T cells"
<http://purl.obolibrary.org/obo/OBI_0302847>	"methylated polymer"@en
<http://purl.obolibrary.org/obo/OBI_0001888>	"sequencing facility contact person"@en
<http://purl.obolibrary.org/obo/OBI_0002369>	"clinical history devoid of cancer"
<http://purl.obolibrary.org/obo/OBI_0001441>	"proteomic profiling by array design"
<http://purl.obolibrary.org/obo/OBI_0000218>	"investigation results report"@en
<http://purl.obolibrary.org/obo/OBI_0001172>	"dose response curve"
<http://purl.obolibrary.org/obo/OBI_0001226>	"environmental history design"
<http://purl.obolibrary.org/obo/OBI_0002197>	"tissue section thickness"@en
<http://purl.obolibrary.org/obo/OBI_0000023>	"classified data set"@en
<http://purl.obolibrary.org/obo/OBI_0001157>	"age since hatching measurement datum"@en
<http://purl.obolibrary.org/obo/OBI_0002191>	"courier tracking number"@en
<http://purl.obolibrary.org/obo/OBI_1110036>	"JY cell line"@en
<http://purl.obolibrary.org/obo/OBI_0001628>	"investigation identifier"@en
<http://purl.obolibrary.org/obo/OBI_0500003>	"cross over design"
<http://purl.obolibrary.org/obo/OBI_0001386>	"epitope specific monocyte chemotactic protein-1 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001415>	"epitope specific interleukin-9 production by T cells"
<http://purl.obolibrary.org/obo/OBI_1110191>	"epitope specific IL-13 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_1110054>	"autoimmune disease"@en
<http://purl.obolibrary.org/obo/OBI_0001141>	"individual organism identifier"@en
<http://purl.obolibrary.org/obo/OBI_0500022>	"stopping rule"@en
<http://purl.obolibrary.org/obo/OBI_0001286>	"RNAi profiling by array design"
<http://purl.obolibrary.org/obo/OBI_0000662>	"error corrected data set"@en
<http://purl.obolibrary.org/obo/OBI_0002614>	"birth cohort study design"
<http://purl.obolibrary.org/obo/OBI_0002372>	"family clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0001948>	"sequence assembly name"@en
<http://purl.obolibrary.org/obo/OBI_0002125>	"H&E-stained fixed tissue slide specimen"@en
<http://purl.obolibrary.org/obo/OBI_0500012>	"graeco latin square design"
<http://purl.obolibrary.org/obo/OBI_0001502>	"epitope specific perforin production by T cells"
<http://purl.obolibrary.org/obo/OBI_0002466>	"alignment counting algorithm"
<http://purl.obolibrary.org/obo/OBI_0001889>	"specimen provider principal investigator"@en
<http://purl.obolibrary.org/obo/OBI_0001161>	"age since germination measurement datum"@en
<http://purl.obolibrary.org/obo/OBI_0001337>	"clinical history design"
<http://purl.obolibrary.org/obo/OBI_0001883>	"Bioinformatics Resource Center contact person"@en
<http://purl.obolibrary.org/obo/OBI_0500014>	"factorial design"
<http://purl.obolibrary.org/obo/OBI_0001425>	"protein binding site identification design"
<http://purl.obolibrary.org/obo/OBI_0002110>	"digital object identifier"@en
<http://purl.obolibrary.org/obo/OBI_0001290>	"transcription profiling by array design"
<http://purl.obolibrary.org/obo/OBI_0000963>	"categorical label"
<http://purl.obolibrary.org/obo/OBI_0001678>	"epitope specific granzyme A production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001328>	"organism development design"
<http://purl.obolibrary.org/obo/OBI_0000115>	"intervention design"
<http://purl.obolibrary.org/obo/OBI_0001629>	"grant identifier"@en
<http://purl.obolibrary.org/obo/OBI_0001199>	"in vivo design"
<http://purl.obolibrary.org/obo/OBI_0500004>	"n-to-1 design"
<http://purl.obolibrary.org/obo/OBI_0001958>	"systematic review study design"
<http://purl.obolibrary.org/obo/OBI_0000065>	"polyethylene glycol p-(1,1,3,3-tetramethylbutyl)-phenyl ether"@en
<http://purl.obolibrary.org/obo/OBI_0500023>	"compliance rule"@en
<http://purl.obolibrary.org/obo/OBI_0001462>	"epitope specific IP-10 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001193>	"epitope specific cytokine production by T cells"
<http://purl.obolibrary.org/obo/OBI_0000885>	"secondary structure of sequence macromolecule"
<http://purl.obolibrary.org/obo/OBI_0001900>	"specimen identifier assigned by specimen repository"@en
<http://purl.obolibrary.org/obo/OBI_0002470>	"bcl2fastq software application"@en
<http://purl.obolibrary.org/obo/OBI_0002615>	"disease specific study design"
<http://purl.obolibrary.org/obo/OBI_0300310>	"sequential design"
<http://purl.obolibrary.org/obo/OBI_0002373>	"aunt clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0002126>	"IHC-stained fixed tissue slide specimen"@en
<http://purl.obolibrary.org/obo/OBI_0002379>	"son clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0001716>	"B cell epitope specific complement-dependent cytotoxicity"
<http://purl.obolibrary.org/obo/OBI_0500013>	"hyper graeco latin square design"
<http://purl.obolibrary.org/obo/OBI_0002674>	"case series design"
<http://purl.obolibrary.org/obo/OBI_0001894>	"email address of sequencing facility contact person"@en
<http://purl.obolibrary.org/obo/OBI_0002461>	"BCL format"@en
<http://purl.obolibrary.org/obo/OBI_0002467>	"alignment counting application"@en
<http://purl.obolibrary.org/obo/OBI_0001162>	"validation by reverse transcription PCR design"
<http://purl.obolibrary.org/obo/OBI_1110300>	"direct submission to IEDB"
<http://purl.obolibrary.org/obo/OBI_0500015>	"2x2 factorial design"
<http://purl.obolibrary.org/obo/OBI_0001426>	"sex comparison design"
<http://purl.obolibrary.org/obo/OBI_0001256>	"epitope specific lymphotoxin A production by T cells"
<http://purl.obolibrary.org/obo/OBI_0000075>	"diagnosis textual entity"@en
<http://purl.obolibrary.org/obo/OBI_0001396>	"stimulus or stress design"
<http://purl.obolibrary.org/obo/OBI_0001329>	"family history design"
<http://purl.obolibrary.org/obo/OBI_0001159>	"age since egg laying measurement datum"@en
<http://purl.obolibrary.org/obo/OBI_0001200>	"genotyping by high throughput sequencing design"
<http://purl.obolibrary.org/obo/OBI_0001951>	"reverse PCR primer"@en
<http://purl.obolibrary.org/obo/OBI_0500005>	"matched pairs design"
<http://purl.obolibrary.org/obo/OBI_0002383>	"nephew clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0001444>	"genotyping design"
<http://purl.obolibrary.org/obo/OBI_1110193>	"epitope specific IL-17 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_0000845>	"primary structure of RNA molecule"
<http://purl.obolibrary.org/obo/OBI_1110199>	"epitope specific IL-4 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_0500024>	"standard compliance rule"@en
<http://purl.obolibrary.org/obo/OBI_0300311>	"observation design"
<http://purl.obolibrary.org/obo/OBI_1110038>	"RMA cell line"@en
