?x	?xl
<http://purl.obolibrary.org/obo/PECO_0007293>	"potassium nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007628>	"X-ray exposure"
<http://purl.obolibrary.org/obo/PECO_0007023>	"gaseous exposure"
<http://purl.obolibrary.org/obo/PECO_0001011>	"monosaccharide exposure"
<http://purl.obolibrary.org/obo/PECO_0007133>	"basic pH growth media environment exposure"
<http://purl.obolibrary.org/obo/PECO_0001029>	"arginine nitrogen exposure"
<http://purl.obolibrary.org/obo/PECO_0007036>	"summer season exposure"
<http://purl.obolibrary.org/obo/PECO_0007544>	"hycanthon methanesulfonate exposure"
<http://purl.obolibrary.org/obo/PECO_0007090>	"ammonium nitrate exposure"
<http://purl.obolibrary.org/obo/PECO_0007614>	"agr ray exposure"
<http://purl.obolibrary.org/obo/PECO_0007257>	"Xanthomonas oryzae pv. oryzae exposure"
<http://purl.obolibrary.org/obo/PECO_0007505>	"1,2:5,6-dibenzanthracene exposure"
<http://purl.obolibrary.org/obo/PECO_0007142>	"Scirpophaga spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007077>	"Tilletia barclayana exposure"
<http://purl.obolibrary.org/obo/PECO_0007205>	"rice grassy stunt 2 virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007537>	"ethylenimine exposure"
<http://purl.obolibrary.org/obo/PECO_0007315>	"zero gravity exposure"
<http://purl.obolibrary.org/obo/PECO_0007236>	"Pseudomonas plantarii exposure"
<http://purl.obolibrary.org/obo/PECO_0007346>	"rice yellow stunt virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007280>	"unknown study type"
<http://purl.obolibrary.org/obo/PECO_0001031>	"glutamine nitrogen exposure"
<http://purl.obolibrary.org/obo/PECO_0007188>	"Pythium arrhenomanes exposure"
<http://purl.obolibrary.org/obo/PECO_0007298>	"Sogatodes oryzicola exposure"
<http://purl.obolibrary.org/obo/PECO_0007095>	"calcium nitrate exposure"
<http://purl.obolibrary.org/obo/PECO_0007546>	"ICR 170 exposure"
<http://purl.obolibrary.org/obo/PECO_0007307>	"transposable element insert exposure"
<http://purl.obolibrary.org/obo/PECO_0007251>	"Pseudomonas syringae pv. panici exposure"
<http://purl.obolibrary.org/obo/PECO_0001016>	"inorganic cation exposure"
<http://purl.obolibrary.org/obo/PECO_0007259>	"soil water content exposure"
<http://purl.obolibrary.org/obo/PECO_0007081>	"river bank region exposure"
<http://purl.obolibrary.org/obo/PECO_0007244>	"chlorine nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007632>	"insecticide exposure"
<http://purl.obolibrary.org/obo/PECO_0007173>	"warm/hot temperature exposure"
<http://purl.obolibrary.org/obo/PECO_0001008>	"sulfate exposure"
<http://purl.obolibrary.org/obo/PECO_0007064>	"ecological environment exposure"
<http://purl.obolibrary.org/obo/PECO_0007230>	"iodine nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007340>	"Achlya conspicua exposure"
<http://purl.obolibrary.org/obo/PECO_0007348>	"rice stripe necrosis virus exposure"
<http://purl.obolibrary.org/obo/PECO_0007179>	"Pythium irregulare exposure"
<http://purl.obolibrary.org/obo/PECO_0001033>	"parasitic wasp insect plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007050>	"soil texture exposure"
<http://purl.obolibrary.org/obo/PECO_0007333>	"insect plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007271>	"low light intensity exposure"
<http://purl.obolibrary.org/obo/PECO_0007285>	"rainy season exposure"
<http://purl.obolibrary.org/obo/PECO_0007395>	"river delta region exposure"
<http://purl.obolibrary.org/obo/PECO_0007570>	"sulfur mustard exposure"
<http://purl.obolibrary.org/obo/PECO_0007111>	"ssRNA negative-strand virus exposure"
<http://purl.obolibrary.org/obo/PECO_0001049>	"limited magnesium exposure"
<http://purl.obolibrary.org/obo/PECO_0007374>	"Cylindrocladium scoparium exposure"
<http://purl.obolibrary.org/obo/PECO_0007119>	"Dipteran insect plant exposure"
<http://purl.obolibrary.org/obo/PECO_0007634>	"Spodoptera litura exposure"
<http://purl.obolibrary.org/obo/PECO_0007014>	"Echinodorus cordifolius exposure"
<http://purl.obolibrary.org/obo/PECO_0007277>	"Chilo polychrysus exposure"
<http://purl.obolibrary.org/obo/PECO_0007387>	"manganese nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007235>	"silicon nutrient exposure"
<http://purl.obolibrary.org/obo/PECO_0007103>	"phosphate fertilizer exposure"
<http://purl.obolibrary.org/obo/PECO_0007192>	"Drechslera gigantea exposure"
<http://purl.obolibrary.org/obo/PECO_0007055>	"Cochliobolus spp. exposure"
<http://purl.obolibrary.org/obo/PECO_0007069>	"gibberellic acid exposure"
<http://purl.obolibrary.org/obo/PECO_0007515>	"2-chloroethyl methanesulfonate exposure"
