?x	?xl
<http://purl.obolibrary.org/obo/PO_0025590>	"receptacle pith"
<http://purl.obolibrary.org/obo/PO_0020043>	"compound leaf"
<http://purl.obolibrary.org/obo/PO_0007067>	"LP.17 seventeen leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025540>	"phloem sap"
<http://purl.obolibrary.org/obo/PO_0025426>	"phloem development stage"
<http://purl.obolibrary.org/obo/PO_0025548>	"rosette paraclade"
<http://purl.obolibrary.org/obo/PO_0003021>	"central root cap of primary root"
<http://purl.obolibrary.org/obo/PO_0007611>	"petal differentiation and expansion stage"
<http://purl.obolibrary.org/obo/PO_0001026>	"D locules established stage"
<http://purl.obolibrary.org/obo/PO_0000026>	"primary root tip"
<http://purl.obolibrary.org/obo/PO_0007117>	"SE.02 two nodes or internodes visible stage"
<http://purl.obolibrary.org/obo/PO_0025343>	"gametophyte senescent stage"
<http://purl.obolibrary.org/obo/PO_0007619>	"ovule development stage"
<http://purl.obolibrary.org/obo/PO_0006353>	"lower floret of pedicellate spikelet of ear"
<http://purl.obolibrary.org/obo/PO_0020136>	"ear inflorescence"
<http://purl.obolibrary.org/obo/PO_0005059>	"root endodermis"
<http://purl.obolibrary.org/obo/PO_0007038>	"whole plant fruit ripening complete stage"
<http://purl.obolibrary.org/obo/PO_0025104>	"first order inflorescence axis"
<http://purl.obolibrary.org/obo/PO_0004723>	"sepal vascular system"
<http://purl.obolibrary.org/obo/PO_0007516>	"root epidermal differentiation stage"
<http://purl.obolibrary.org/obo/PO_0006387>	"upper glume of sessile spikelet of tassel"
<http://purl.obolibrary.org/obo/PO_0009084>	"pericarp"
<http://purl.obolibrary.org/obo/PO_0006081>	"primary root apical meristem"
<http://purl.obolibrary.org/obo/PO_0025519>	"leaf lamina crena"
<http://purl.obolibrary.org/obo/PO_0020075>	"mericarp"
<http://purl.obolibrary.org/obo/PO_0025486>	"stamen anlagen"
<http://purl.obolibrary.org/obo/PO_0030006>	"protonema whole plant development stage"
<http://purl.obolibrary.org/obo/PO_0025141>	"phyllome tip"
<http://purl.obolibrary.org/obo/PO_0006324>	"first order tassel inflorescence axis"
<http://purl.obolibrary.org/obo/PO_0008007>	"nucellar projection"
<http://purl.obolibrary.org/obo/PO_0025534>	"adventitious shoot axis"
<http://purl.obolibrary.org/obo/PO_0009044>	"perigynium"
<http://purl.obolibrary.org/obo/PO_0000018>	"ovule primordium"
<http://purl.obolibrary.org/obo/PO_0004703>	"carpel primordium"
<http://purl.obolibrary.org/obo/PO_0001053>	"vascular leaf post-expansion stage"
<http://purl.obolibrary.org/obo/PO_0003019>	"central root cap of lateral root"
<http://purl.obolibrary.org/obo/PO_0006052>	"petal abaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0025350>	"palea awn"
