?x	?xl
<http://purl.obolibrary.org/obo/UBERON_0007232>	"2 cell stage"
<http://purl.obolibrary.org/obo/UBERON_0001924>	"paracentral nucleus"
<http://purl.obolibrary.org/obo/UBERON_0023901>	"piriform cortex layer 1b"
<http://purl.obolibrary.org/obo/UBERON_0006696>	"mammillothalamic axonal tract"
<http://purl.obolibrary.org/obo/UBERON_0001941>	"lateral habenular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0022314>	"superior colliculus stratum zonale"
<http://purl.obolibrary.org/obo/UBERON_0006790>	"deep white layer of superior colliculus"
<http://purl.obolibrary.org/obo/UBERON_0001715>	"oculomotor nuclear complex"
<http://purl.obolibrary.org/obo/UBERON_0002630>	"body of caudate nucleus"
<http://purl.obolibrary.org/obo/UBERON_2002207>	"medial motor nucleus of vagal nerve"
<http://purl.obolibrary.org/obo/UBERON_2000175>	"posterior lateral line nerve"
<http://purl.obolibrary.org/obo/UBERON_0022316>	"primary motor cortex layer 6"
<http://purl.obolibrary.org/obo/UBERON_0015828>	"cerebellum ventricular layer"
<http://purl.obolibrary.org/obo/UBERON_0005832>	"cuneate fasciculus"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"life cycle"
<http://purl.obolibrary.org/obo/UBERON_0023983>	"central cervical spinocerebellar tract"
<http://purl.obolibrary.org/obo/UBERON_0013738>	"parabrachial pigmental nucleus"
<http://purl.obolibrary.org/obo/UBERON_0035875>	"primary somatosensory area barrel field layer 6b"
<http://purl.obolibrary.org/obo/UBERON_0002144>	"peripeduncular nucleus"
<http://purl.obolibrary.org/obo/UBERON_3010799>	"ramulus suprabranchialis posterior"
<http://purl.obolibrary.org/obo/UBERON_0014663>	"nucleus recessus lateralis"
<http://purl.obolibrary.org/obo/UBERON_0002931>	"dorsal septal nucleus"
<http://purl.obolibrary.org/obo/UBERON_0011322>	"mylohyoid nerve"
<http://purl.obolibrary.org/obo/UBERON_0018398>	"superior alveolar nerve"
<http://purl.obolibrary.org/obo/UBERON_0000106>	"zygote stage"
<http://purl.obolibrary.org/obo/UBERON_0001717>	"spinal nucleus of trigeminal nerve"
<http://purl.obolibrary.org/obo/UBERON_0035639>	"ocular adnexa"
<http://purl.obolibrary.org/obo/UBERON_0023623>	"ventral nerve root of sacral spinal cord"
<http://purl.obolibrary.org/obo/UBERON_0012485>	"cloacal villus"
<http://purl.obolibrary.org/obo/UBERON_0004215>	"back nerve"
<http://purl.obolibrary.org/obo/UBERON_0016551>	"subdivision of spinal cord ventral column"
<http://purl.obolibrary.org/obo/UBERON_0002933>	"nucleus of anterior commissure"
<http://purl.obolibrary.org/obo/UBERON_0002136>	"hilus of dentate gyrus"
<http://purl.obolibrary.org/obo/UBERON_0002622>	"preoptic periventricular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0022340>	"piriform cortex layer 2a"
<http://purl.obolibrary.org/obo/UBERON_0002258>	"dorsal funiculus of spinal cord"
<http://purl.obolibrary.org/obo/UBERON_0006544>	"kidney vasculature"
<http://purl.obolibrary.org/obo/UBERON_0007836>	"cervical spinal cord ventral commissure"
<http://purl.obolibrary.org/obo/UBERON_0007630>	"septohippocampal nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002313>	"hippocampus pyramidal layer"
<http://purl.obolibrary.org/obo/UBERON_0006697>	"mammillotectal axonal tract"
<http://purl.obolibrary.org/obo/UBERON_0001942>	"medial habenular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0007233>	"4 cell stage"
<http://purl.obolibrary.org/obo/UBERON_0001925>	"ventral lateral nucleus of thalamus"
<http://purl.obolibrary.org/obo/UBERON_0002775>	"olivocochlear bundle"
<http://purl.obolibrary.org/obo/UBERON_0000959>	"optic chiasma"
<http://purl.obolibrary.org/obo/UBERON_6004823>	"analia"
<http://purl.obolibrary.org/obo/UBERON_0014633>	"substantia gelatinosa of lumbar spinal cord dorsal horn"
<http://purl.obolibrary.org/obo/UBERON_0022229>	"posterior amygdaloid nucleus"
<http://purl.obolibrary.org/obo/UBERON_0001944>	"pretectal region"
<http://purl.obolibrary.org/obo/UBERON_0022317>	"olfactory cortex layer 1"
<http://purl.obolibrary.org/obo/UBERON_0002631>	"cerebral crus"
<http://purl.obolibrary.org/obo/UBERON_2000176>	"lateral entopeduncular nucleus"
<http://purl.obolibrary.org/obo/UBERON_2000397>	"nucleus subglomerulosis"
<http://purl.obolibrary.org/obo/UBERON_2000485>	"central nucleus inferior lobe"
<http://purl.obolibrary.org/obo/UBERON_0000908>	"hippocampal commissure"
<http://purl.obolibrary.org/obo/UBERON_0000432>	"endopeduncular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0035876>	"primary somatosensory area barrel field layer 6a"
<http://purl.obolibrary.org/obo/UBERON_0009976>	"hypothalamo-hypophyseal system"
<http://purl.obolibrary.org/obo/UBERON_0002322>	"periventricular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0000105>	"life cycle stage"
<http://purl.obolibrary.org/obo/UBERON_0023984>	"rostral spinocerebellar tract"
<http://purl.obolibrary.org/obo/UBERON_0014664>	"nucleus recessus posterioris"
<http://purl.obolibrary.org/obo/UBERON_0002145>	"interpeduncular nucleus"
<http://purl.obolibrary.org/obo/UBERON_0015829>	"forebrain ventricular layer"
<http://purl.obolibrary.org/obo/UBERON_0007840>	"spinal cord dorsal white commissure"
<http://purl.obolibrary.org/obo/UBERON_0001718>	"mesencephalic nucleus of trigeminal nerve"
<http://purl.obolibrary.org/obo/UBERON_0002932>	"trapezoid body"
<http://purl.obolibrary.org/obo/UBERON_0000107>	"cleavage stage"
<http://purl.obolibrary.org/obo/UBERON_2000941>	"nucleus of the medial longitudinal fasciculus synencephalon"
<http://purl.obolibrary.org/obo/UBERON_0000070>	"pupal stage"
<http://purl.obolibrary.org/obo/UBERON_0002623>	"cerebral peduncle"
<http://purl.obolibrary.org/obo/UBERON_0022423>	"sagulum nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002934>	"ventral oculomotor nucleus"
<http://purl.obolibrary.org/obo/UBERON_0035757>	"embryonic capillary plexus"
<http://purl.obolibrary.org/obo/UBERON_0004216>	"lower arm nerve"
<http://purl.obolibrary.org/obo/UBERON_0007837>	"thoracic spinal cord ventral commissure"
<http://purl.obolibrary.org/obo/UBERON_0007631>	"accessory olfactory bulb glomerular layer"
<http://purl.obolibrary.org/obo/UBERON_0002625>	"median preoptic nucleus"
<http://purl.obolibrary.org/obo/UBERON_0002438>	"ventral tegmental nucleus"
