?x	?xl
<http://purl.obolibrary.org/obo/NPO_1731>	"radiation"
<http://purl.obolibrary.org/obo/CARO_0000007>	"immaterial anatomical entity"
<http://purl.obolibrary.org/obo/NCIT_C20181>	"Conceptual Entity"
<http://purl.obolibrary.org/obo/MAXO_0000188>	"obsolete calcium channel blocker agent therapy"
<http://purl.obolibrary.org/obo/NBO_0000313>	"behavior process"
<http://purl.obolibrary.org/obo/MAXO_0000008>	"obsolete therapeutic intervention"
<http://purl.obolibrary.org/obo/UBERON_0000000>	"processual entity"
<http://purl.obolibrary.org/obo/GO_0005575>	"cellular_component"
<http://purl.obolibrary.org/obo/ExO_0000055>	"route"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
<http://purl.obolibrary.org/obo/ExO_0000000>	"exposure stressor"
<http://purl.obolibrary.org/obo/XCO_0000000>	"experimental condition"
<http://purl.obolibrary.org/obo/NCBITaxon#_taxonomic_rank>	"taxonomic rank"
<http://purl.obolibrary.org/obo/MAXO_0000001>	"medical action"@en
<http://purl.obolibrary.org/obo/ExO_0000001>	"exposure receptor"
<http://purl.obolibrary.org/obo/ExO_0000002>	"exposure event"
<http://purl.obolibrary.org/obo/CARO_0030000>	"biological entity"
<http://purl.obolibrary.org/obo/NCIT_C20189>	"Property or Attribute"
<http://purl.obolibrary.org/obo/NCIT_C43431>	"Activity"
