?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01000203>	"environmental condition"
<http://purl.obolibrary.org/obo/ENVO_3200034>	"concentration of samarium in water ice"
<http://purl.obolibrary.org/obo/ENVO_00010358>	"fomite"
<http://purl.obolibrary.org/obo/ENVO_3100019>	"concentration of lutein in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200013>	"concentration of niobium in lake water"
<http://purl.obolibrary.org/obo/ENVO_3200054>	"concentration of silver in snow"
<http://purl.obolibrary.org/obo/ENVO_01001853>	"periglacial"@en
<http://purl.obolibrary.org/obo/ENVO_01001375>	"sea ice variability"@en
<http://purl.obolibrary.org/obo/ENVO_3200004>	"concentration of cobalt in lake water"
<http://purl.obolibrary.org/obo/ENVO_09200003>	"atmospheric wind intensity"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"environmental system"
<http://purl.obolibrary.org/obo/ENVO_04000004>	"concentration of carbon dioxide in air"@en
<http://purl.obolibrary.org/obo/ENVO_09200009>	"structure of soil"
<http://purl.obolibrary.org/obo/ENVO_3200045>	"concentration of gadolinium in snow"
<http://purl.obolibrary.org/obo/ENVO_01001188>	"holothurian digestive tract contents"@en
<http://purl.obolibrary.org/obo/ENVO_01001844>	"ocean surface stress"@en
<http://purl.obolibrary.org/obo/ENVO_3100001>	"concentration of Adenosine 5-triphosphate in liquid water"
<http://purl.obolibrary.org/obo/ENVO_09000004>	"amount of carbon atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_3200035>	"concentration of silver in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200014>	"concentration of praseodymium in lake water"
<http://purl.obolibrary.org/obo/ENVO_3200055>	"concentration of thallium in snow"
<http://purl.obolibrary.org/obo/ENVO_3100010>	"concentration of chlorophyllide a in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01000804>	"astronomical object"@en
<http://purl.obolibrary.org/obo/ENVO_01000498>	"pole"
<http://purl.obolibrary.org/obo/ENVO_01001008>	"meteor"@en
<http://purl.obolibrary.org/obo/ENVO_09200004>	"porosity of soil"
<http://purl.obolibrary.org/obo/ENVO_3200005>	"concentration of dysprosium in lake water"
<http://purl.obolibrary.org/obo/ENVO_04000005>	"concentration of carbon dioxide in freshwater"@en
<http://purl.obolibrary.org/obo/ENVO_3200046>	"concentration of lanthanum in snow"
<http://purl.obolibrary.org/obo/ENVO_3100002>	"concentration of alloxanthine in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01001641>	"glaciation"@en
<http://purl.obolibrary.org/obo/ENVO_3200036>	"concentration of thallium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100020>	"concentration of methane in liquid water"
