?x	?xl
<http://purl.obolibrary.org/obo/OBI_0001522>	"sequence assembly algorithm"@en
<http://purl.obolibrary.org/obo/OBI_0001890>	"email address of specimen collector"@en
<http://purl.obolibrary.org/obo/OBI_1110053>	"cancer"@en
<http://purl.obolibrary.org/obo/OBI_0001823>	"epitope specific chemokine (C-C motif) ligand 21 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001316>	"epitope specific interleukin-21 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001906>	"cancer cell line"
<http://purl.obolibrary.org/obo/OBI_1110182>	"epitope specific T cell proliferation"@en
<http://purl.obolibrary.org/obo/OBI_0001275>	"epitope specific interleukin-16 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001208>	"epitope specific T cell activation"
<http://purl.obolibrary.org/obo/OBI_0001254>	"epitope specific interleukin-3 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001394>	"epitope specific cytotoxic T cell degranulation"
<http://purl.obolibrary.org/obo/OBI_0001677>	"epitope specific granulysin production by T cells"
<http://purl.obolibrary.org/obo/OBI_0302847>	"methylated polymer"@en
<http://purl.obolibrary.org/obo/OBI_0001888>	"sequencing facility contact person"@en
<http://purl.obolibrary.org/obo/OBI_0002369>	"clinical history devoid of cancer"
<http://purl.obolibrary.org/obo/OBI_0000218>	"investigation results report"@en
<http://purl.obolibrary.org/obo/OBI_0001172>	"dose response curve"
<http://purl.obolibrary.org/obo/OBI_0002197>	"tissue section thickness"@en
<http://purl.obolibrary.org/obo/OBI_0000023>	"classified data set"@en
<http://purl.obolibrary.org/obo/OBI_0002191>	"courier tracking number"@en
<http://purl.obolibrary.org/obo/OBI_1110036>	"JY cell line"@en
<http://purl.obolibrary.org/obo/OBI_0001628>	"investigation identifier"@en
<http://purl.obolibrary.org/obo/OBI_0001386>	"epitope specific monocyte chemotactic protein-1 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001415>	"epitope specific interleukin-9 production by T cells"
<http://purl.obolibrary.org/obo/OBI_1110191>	"epitope specific IL-13 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_1110054>	"autoimmune disease"@en
<http://purl.obolibrary.org/obo/OBI_0001141>	"individual organism identifier"@en
<http://purl.obolibrary.org/obo/OBI_0500022>	"stopping rule"@en
<http://purl.obolibrary.org/obo/OBI_0000662>	"error corrected data set"@en
<http://purl.obolibrary.org/obo/OBI_0002372>	"family clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0001948>	"sequence assembly name"@en
<http://purl.obolibrary.org/obo/OBI_0002125>	"H&E-stained fixed tissue slide specimen"@en
<http://purl.obolibrary.org/obo/OBI_0001502>	"epitope specific perforin production by T cells"
<http://purl.obolibrary.org/obo/OBI_0002466>	"alignment counting algorithm"
<http://purl.obolibrary.org/obo/OBI_0001889>	"specimen provider principal investigator"@en
<http://purl.obolibrary.org/obo/OBI_0001883>	"Bioinformatics Resource Center contact person"@en
<http://purl.obolibrary.org/obo/OBI_0002110>	"digital object identifier"@en
<http://purl.obolibrary.org/obo/OBI_0000963>	"categorical label"
<http://purl.obolibrary.org/obo/OBI_0001678>	"epitope specific granzyme A production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001629>	"grant identifier"@en
<http://purl.obolibrary.org/obo/OBI_0000065>	"polyethylene glycol p-(1,1,3,3-tetramethylbutyl)-phenyl ether"@en
<http://purl.obolibrary.org/obo/OBI_0500023>	"compliance rule"@en
<http://purl.obolibrary.org/obo/OBI_0001462>	"epitope specific IP-10 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001193>	"epitope specific cytokine production by T cells"
<http://purl.obolibrary.org/obo/OBI_0000885>	"secondary structure of sequence macromolecule"
<http://purl.obolibrary.org/obo/OBI_0002126>	"IHC-stained fixed tissue slide specimen"@en
<http://purl.obolibrary.org/obo/OBI_0001716>	"B cell epitope specific complement-dependent cytotoxicity"
<http://purl.obolibrary.org/obo/OBI_0001894>	"email address of sequencing facility contact person"@en
<http://purl.obolibrary.org/obo/OBI_0002461>	"BCL format"@en
<http://purl.obolibrary.org/obo/OBI_0002467>	"alignment counting application"@en
<http://purl.obolibrary.org/obo/OBI_1110300>	"direct submission to IEDB"
<http://purl.obolibrary.org/obo/OBI_0001256>	"epitope specific lymphotoxin A production by T cells"
<http://purl.obolibrary.org/obo/OBI_0000075>	"diagnosis textual entity"@en
<http://purl.obolibrary.org/obo/OBI_0001951>	"reverse PCR primer"@en
<http://purl.obolibrary.org/obo/OBI_1110193>	"epitope specific IL-17 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_0000845>	"primary structure of RNA molecule"
<http://purl.obolibrary.org/obo/OBI_1110199>	"epitope specific IL-4 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_1110038>	"RMA cell line"@en
<http://purl.obolibrary.org/obo/OBI_0001219>	"epitope specific chemokine (C-C motif) ligand 1 production by T cells"
<http://purl.obolibrary.org/obo/OBI_1110056>	"epitope specific IL-2 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_0001717>	"B cell epitope specific antibody-dependent cellular cytotoxicity"
<http://purl.obolibrary.org/obo/OBI_0001903>	"email address of specimen provider principal investigator"@en
<http://purl.obolibrary.org/obo/OBI_0000430>	"plasmid"@en
<http://purl.obolibrary.org/obo/OBI_0001895>	"specimen collector"@en
<http://purl.obolibrary.org/obo/OBI_0002468>	"base calling algorithm"@en
<http://purl.obolibrary.org/obo/OBI_1110028>	"293-T cell line"@en
<http://purl.obolibrary.org/obo/OBI_0001257>	"epitope specific interleukin-1 alpha production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001825>	"epitope specific chemokine (C-C motif) ligand 19 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001535>	"epitope specific interleukin-7 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0100065>	"synthetic peptide"@en
<http://purl.obolibrary.org/obo/OBI_0001913>	"computation run time"@en
<http://purl.obolibrary.org/obo/OBI_0001201>	"epitope specific tolerance induction by T cells"
<http://purl.obolibrary.org/obo/OBI_0002472>	"dbGaP study identifier"@en
<http://purl.obolibrary.org/obo/OBI_1110039>	"T2 cell line"@en
<http://purl.obolibrary.org/obo/OBI_0001816>	"epitope specific chemokine (C-X-C motif) ligand 13 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0002478>	"reference genome-transcriptome alignment algorithm"@en
<http://purl.obolibrary.org/obo/OBI_0000251>	"cluster"@en
<http://purl.obolibrary.org/obo/OBI_0002582>	"sequence library feature count data"
<http://purl.obolibrary.org/obo/OBI_0001366>	"epitope specific RANTES production by T cells"
<http://purl.obolibrary.org/obo/OBI_1110029>	"C1R cell line"@en
<http://purl.obolibrary.org/obo/OBI_0002405>	"hormonal replacement therapy history"
<http://purl.obolibrary.org/obo/OBI_0002469>	"base calling application"@en
<http://purl.obolibrary.org/obo/OBI_0000831>	"DNA residue methylation"
<http://purl.obolibrary.org/obo/OBI_0001619>	"specimen collection time measurement datum"@en
<http://purl.obolibrary.org/obo/OBI_1110049>	"allergy"@en
<http://purl.obolibrary.org/obo/OBI_0001446>	"epitope specific interleukin-15 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001371>	"epitope specific granzyme B production by T cells"
<http://purl.obolibrary.org/obo/OBI_0000118>	"gene list"@en
<http://purl.obolibrary.org/obo/OBI_1110202>	"epitope specific IL-5 release by T cells"@en
<http://purl.obolibrary.org/obo/OBI_0001249>	"epitope specific T cell tolerance induction"
<http://purl.obolibrary.org/obo/OBI_0001267>	"epitope specific transforming growth factor-beta production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001508>	"sampling time measurement datum"@en
<http://purl.obolibrary.org/obo/OBI_0002370>	"unknown clinical history of cancer"
<http://purl.obolibrary.org/obo/OBI_0001381>	"epitope specific interleukin-23 production by T cells"
<http://purl.obolibrary.org/obo/OBI_0001212>	"epitope specific type IV hypersensitivity by T cells"
