ID	Label	Comment	Replacement	Replacement Label	Suggestion	Suggestion Label	Signature
BFO:0000001	entity	does no work: remove or use owl:Thing	owl:Thing				
BFO:0000002	continuant	use something more specific, or a disjunction (X or Y)	owl:Thing		owl:Thing		
BFO:0000004	independent continuant	generalized to owl:Thing, or constrain to 'material entity'	owl:Thing		BFO:0000040	material entity	
BFO:0000030	object	generalize to 'material entity'	BFO:0000040	material entity			
BFO:0000027	object aggregate	generalize to 'material entity'	BFO:0000040	material entity			
BFO:0000024	fiat object part	generalize to 'material entity'	BFO:0000040	material entity			
BFO:0000140	continuant fiat boundary	generalize to 'immaterial entity'	BFO:0000141	immaterial entity			
BFO:0000147	zero-dimensional continuant fiat boundary	generalize to 'immaterial entity'	BFO:0000142	immaterial entity			
BFO:0000142	one-dimensional continuant fiat boundary	generalize to 'immaterial entity'	BFO:0000143	immaterial entity			
BFO:0000146	two-dimensional continuant fiat boundary	generalize to 'immaterial entity'	BFO:0000144	immaterial entity			
BFO:0000006	spatial region	generalize to 'immaterial entity'	BFO:0000145	immaterial entity			
BFO:0000018	zero-dimensional spatial region	generalize to 'immaterial entity'	BFO:0000146	immaterial entity			
BFO:0000026	one-dimensional spatial region	generalize to 'immaterial entity'	BFO:0000147	immaterial entity			
BFO:0000009	two-dimensional spatial region	generalize to 'immaterial entity'	BFO:0000148	immaterial entity			
BFO:0000028	three-dimensional spatial region	generalize to 'immaterial entity'	BFO:0000149	immaterial entity			
BFO:0000020	specifically dependent continuant	use 'characteristic'	owl:Thing		COB:0000502	characteristic	
BFO:0000019	quality	use 'characteristic'	COB:0000502	characteristic			
BFO:0000145	relational quality	use 'characteristic'	COB:0000502	characteristic			
BFO:0000031	generically dependent continant	constrain to 'information entity'	owl:Thing		IAO:0000030	information content entity	
BFO:0000003	occurrent	constrain to 'process'	owl:Thing		BFO:0000015	process	
BFO:0000182	history	generalize to 'process'	BFO:0000015	process			
BFO:0000035	process boundary	better to just use the start and end of a process	owl:Thing				
BFO:0000008	temporal region	you probably want a process instead	owl:Thing				
BFO:0000148	zero-dimensional temporal region	you probably want a process instead	owl:Thing				
BFO:0000038	one-dimensional temporal region	you probably want a process instead	owl:Thing				
BFO:0000144	process profile	use 'characteristic'	COB:0000502	characteristic			
CHEBI:23367	molecular entity	replace with COB term	COB:0000013	molecule			
CHEBI:33250	atom	replace with COB term	COB:0000011	atom			
CHEBI:33696	nucleic acid	replace with COB term	COB:0000049	nucleic acid chain			
OBI:0000011	planned process	replace with COB term	COB:0000035	completely executed planned process			BFO:0000015 BFO:0000055 RO:0000059 IAO_000104
OBI:0000047	processed material	replace with COB term	COB:0000026	processed material entity			
OBI:0000094	material processing	replace with COB term	COB:0000110	material processing			BFO:0000040 OBI:0000047 OBI:0000293 OBI:0000299 OBI:0000417 OBI:0000456 OBI:0600010
OBI:0000968	device	replace with COB term	COB:0001300	device			BFO:0000034 BFO:0000040 OBI:0000086 OBI:0000094 OBI:0000312 RO:0000085 RO:0000087
OBI:0100026	organism	replace with COB term	COB:0000022	organism			BFO:0000040 NCBITaxon:10239 NCBITaxon:2 NCBITaxon:2157 NCBITaxon:2759
